,target,data,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,total_neurons,total_layers
23,AD,test,23,"M,F",0.8658892128279884,0.5306122448979592,0.7343660149511214,0.42508371129606864,0.7343660149511213,0.5098039215686274,0.5531914893617021,0.18696027323603628,207462,7
362,AD,test,362,"M,F",0.8571428571428571,0.5242718446601942,0.738247556066705,0.42043375100800195,0.738247556066705,0.48214285714285715,0.574468085106383,0.18696027323603628,207462,7
191,AD,test,191,"M,F",0.8629737609329446,0.45977011494252873,0.6789821736630247,0.3650983189628435,0.6789821736630247,0.5,0.425531914893617,0.18696027323603628,207462,7
80,AD,test,80,"M,F",0.8542274052478134,0.5098039215686274,0.7276092581943645,0.40654538687539127,0.7276092581943645,0.4727272727272727,0.5531914893617021,0.18696027323603628,207462,7
769,AD,test,769,"M,F",0.8571428571428571,0.5242718446601942,0.738247556066705,0.42043375100800195,0.738247556066705,0.48214285714285715,0.574468085106383,0.18696027323603628,207462,7
328,AD,test,328,"M,F",0.8746355685131195,0.5473684210526316,0.739433582518689,0.44101508384508825,0.7394335825186888,0.5416666666666666,0.5531914893617021,0.18696027323603628,207462,7
204,AD,test,204,"M,F",0.8571428571428571,0.5242718446601942,0.738247556066705,0.42043375100800195,0.738247556066705,0.48214285714285715,0.574468085106383,0.18696027323603628,207462,7
281,AD,test,281,"M,F",0.8746355685131195,0.5168539325842697,0.7125862564692352,0.416449558546823,0.7125862564692352,0.5476190476190477,0.48936170212765956,0.18696027323603628,207462,7
841,AD,test,841,"M,F",0.8483965014577259,0.44680851063829785,0.6794853364002299,0.347683146206811,0.67948533640023,0.44680851063829785,0.44680851063829785,0.18696027323603628,207462,7
31,AD,test,31,"M,F",0.8600583090379009,0.5102040816326531,0.7220385278895917,0.4060992178026225,0.7220385278895918,0.49019607843137253,0.5319148936170213,0.18696027323603628,207462,7
