,target,data,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,total_neurons,total_layers
23,CN,test,23,"M,F",0.5422740524781341,0.5879265091863517,0.560749914000688,0.22532973088984964,0.560749914000688,0.49122807017543857,0.7320261437908496,0.07648062594234939,207462,7
362,CN,test,362,"M,F",0.5072886297376094,0.582716049382716,0.5329893360853113,0.22470416738123822,0.5329893360853113,0.46825396825396826,0.7712418300653595,0.07648062594234939,207462,7
191,CN,test,191,"M,F",0.446064139941691,0.6169354838709677,0.5,0.27696793002915454,0.5,0.446064139941691,1.0,0.07648062594234939,207462,7
80,CN,test,80,"M,F",0.5685131195335277,0.6105263157894737,0.5869797041623667,0.24246329536639488,0.5869797041623667,0.5110132158590308,0.7581699346405228,0.07648062594234939,207462,7
769,CN,test,769,"M,F",0.597667638483965,0.640625,0.617750257997936,0.2658621890314567,0.617750257997936,0.5324675324675324,0.803921568627451,0.07648062594234939,207462,7
328,CN,test,328,"M,F",0.4489795918367347,0.605427974947808,0.4975404196766426,,0.4975404196766426,0.4447852760736196,0.9477124183006536,0.07648062594234939,207462,7
204,CN,test,204,"M,F",0.48104956268221577,0.6212765957446809,0.527124183006536,0.2715480363694224,0.527124183006536,0.4605678233438486,0.954248366013072,0.07648062594234939,207462,7
281,CN,test,281,"M,F",0.5510204081632653,0.5815217391304348,0.5654626762985896,0.21950166556101952,0.5654626762985896,0.49767441860465117,0.6993464052287581,0.07648062594234939,207462,7
841,CN,test,841,"M,F",0.5539358600583091,0.6482758620689655,0.5897316821465428,0.2822128851540616,0.5897316821465428,0.5,0.9215686274509803,0.07648062594234939,207462,7
31,CN,test,31,"M,F",0.5072886297376094,0.5517241379310345,0.5240798073615411,0.19737656967548925,0.5240798073615411,0.4642857142857143,0.6797385620915033,0.07648062594234939,207462,7
