,target,data,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,total_neurons,total_layers
23,EMCI,test,23,"M,F",0.7638483965014577,0.7177700348432056,0.7571363763260748,0.3577204399908482,0.7571363763260748,0.7202797202797203,0.7152777777777778,0.212094946205616,207462,7
362,EMCI,test,362,"M,F",0.760932944606414,0.7191780821917808,0.7565431323283082,0.3563393021301184,0.7565431323283082,0.7094594594594594,0.7291666666666666,0.212094946205616,207462,7
191,EMCI,test,191,"M,F",0.7521865889212828,0.7058823529411765,0.7461264656616416,0.34729022150732214,0.7461264656616415,0.7034482758620689,0.7083333333333334,0.212094946205616,207462,7
80,EMCI,test,80,"M,F",0.7521865889212828,0.697508896797153,0.7422878280290341,0.34517233205412856,0.7422878280290341,0.7153284671532847,0.6805555555555556,0.212094946205616,207462,7
769,EMCI,test,769,"M,F",0.7638483965014577,0.7157894736842105,0.756176716917923,0.35726821123586217,0.756176716917923,0.723404255319149,0.7083333333333334,0.212094946205616,207462,7
328,EMCI,test,328,"M,F",0.7551020408163265,0.7083333333333334,0.748639028475712,0.34973275024295436,0.7486390284757118,0.7083333333333334,0.7083333333333334,0.212094946205616,207462,7
204,EMCI,test,204,"M,F",0.7784256559766763,0.7246376811594203,0.7668202121719709,0.3703249698147657,0.7668202121719709,0.7575757575757576,0.6944444444444444,0.212094946205616,207462,7
281,EMCI,test,281,"M,F",0.7696793002915452,0.7285223367697594,0.7650404801786712,0.3641682863621639,0.7650404801786712,0.7210884353741497,0.7361111111111112,0.212094946205616,207462,7
841,EMCI,test,841,"M,F",0.7551020408163265,0.7021276595744681,0.7457600502512564,0.3482182469260996,0.7457600502512562,0.717391304347826,0.6875,0.212094946205616,207462,7
31,EMCI,test,31,"M,F",0.760932944606414,0.7191780821917808,0.7565431323283082,0.3563393021301184,0.7565431323283082,0.7094594594594594,0.7291666666666666,0.212094946205616,207462,7
