,target,data,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,total_neurons,total_layers
23,FTD,test,23,"M,F",0.9475218658892128,0.5909090909090909,0.8079721362229102,0.5477283770651118,0.8079721362229102,0.5416666666666666,0.65,0.07174384780228134,207462,7
362,FTD,test,362,"M,F",0.967930029154519,0.717948717948718,0.8422600619195046,0.6688583704158355,0.8422600619195046,0.7368421052631579,0.7,0.07174384780228134,207462,7
191,FTD,test,191,"M,F",0.9416909620991254,0.0,0.5,0.4708454810495627,0.5,0.0,0.0,0.07174384780228134,207462,7
80,FTD,test,80,"M,F",0.9387755102040817,0.0,0.4984520123839009,,0.4984520123839009,0.0,0.0,0.07174384780228134,207462,7
769,FTD,test,769,"M,F",0.9708454810495627,0.7222222222222222,0.8203560371517028,0.6831450437317784,0.8203560371517028,0.8125,0.65,0.07174384780228134,207462,7
328,FTD,test,328,"M,F",0.9329446064139941,0.5660377358490566,0.8471362229102167,0.5512523191094619,0.8471362229102167,0.45454545454545453,0.75,0.07174384780228134,207462,7
204,FTD,test,204,"M,F",0.9650145772594753,0.6666666666666666,0.7938080495356037,0.6283527696793003,0.7938080495356037,0.75,0.6,0.07174384780228134,207462,7
281,FTD,test,281,"M,F",0.9591836734693877,0.46153846153846156,0.65,0.6120991253644316,0.65,1.0,0.3,0.07174384780228134,207462,7
841,FTD,test,841,"M,F",0.9650145772594753,0.6470588235294118,0.7703560371517028,0.622667638483965,0.7703560371517029,0.7857142857142857,0.55,0.07174384780228134,207462,7
31,FTD,test,31,"M,F",0.9533527696793003,0.6363636363636364,0.8345201238390093,0.5921039844509233,0.8345201238390092,0.5833333333333334,0.7,0.07174384780228134,207462,7
