,target,data,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,total_neurons,total_layers
23,LMCI,test,23,"M,F",0.7551020408163265,0.6934306569343066,0.7813762037899968,0.41904742568320885,0.8166550170860516,0.5828220858895705,0.8558558558558559,0.18637751415371892,207462,7
362,LMCI,test,362,"M,F",0.7784256559766763,0.7164179104477612,0.8009669151910531,0.4364156453718393,0.8166550170860516,0.6114649681528662,0.8648648648648649,0.18637751415371892,207462,7
191,LMCI,test,191,"M,F",0.8221574344023324,0.7404255319148936,0.812150512581547,0.4540686058954657,0.8166550170860516,0.7016129032258065,0.7837837837837838,0.18637751415371892,207462,7
80,LMCI,test,80,"M,F",0.8075801749271136,0.7295081967213115,0.8060733146940043,0.4439421775619413,0.8166550170860516,0.6691729323308271,0.8018018018018018,0.18637751415371892,207462,7
769,LMCI,test,769,"M,F",0.8104956268221575,0.7257383966244726,0.8011804908356632,0.4414852169954211,0.8166550170860516,0.6825396825396826,0.7747747747747747,0.18637751415371892,207462,7
328,LMCI,test,328,"M,F",0.8134110787172012,0.7217391304347827,0.7962876669773222,0.43981453585295116,0.8166550170860516,0.6974789915966386,0.7477477477477478,0.18637751415371892,207462,7
204,LMCI,test,204,"M,F",0.7842565597667639,0.7109375,0.7935305995650823,0.4292423719587689,0.8166550170860516,0.6275862068965518,0.8198198198198198,0.18637751415371892,207462,7
281,LMCI,test,281,"M,F",0.8221574344023324,0.7404255319148936,0.812150512581547,0.4540686058954657,0.8166550170860516,0.7016129032258065,0.7837837837837838,0.18637751415371892,207462,7
841,LMCI,test,841,"M,F",0.8192419825072886,0.7280701754385965,0.8005980118049083,0.4457758947554866,0.8166550170860516,0.7094017094017094,0.7477477477477478,0.18637751415371892,207462,7
31,LMCI,test,31,"M,F",0.8250728862973761,0.7457627118644068,0.8166550170860515,0.45830893283954505,0.8166550170860516,0.704,0.7927927927927928,0.18637751415371892,207462,7
