,target,data,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,total_neurons,total_layers
23,MCI,test,23,"M,F",0.7638483965014577,0.7075812274368231,0.7523380792853155,0.3559291511090652,0.7523380792853155,0.7368421052631579,0.6805555555555556,0.27865818403661247,207462,7
362,MCI,test,362,"M,F",0.7638483965014577,0.7096774193548387,0.7532977386934674,0.3561892614188532,0.7532977386934674,0.7333333333333333,0.6875,0.27865818403661247,207462,7
191,MCI,test,191,"M,F",0.7667638483965015,0.7122302158273381,0.7558103015075377,0.35892557982681345,0.7558103015075377,0.7388059701492538,0.6875,0.27865818403661247,207462,7
80,MCI,test,80,"M,F",0.749271137026239,0.7094594594594594,0.7464928810720267,0.3470043092424939,0.7464928810720268,0.6907894736842105,0.7291666666666666,0.27865818403661247,207462,7
769,MCI,test,769,"M,F",0.7288629737609329,0.6713780918727915,0.7193083472920156,0.3231912283584211,0.7193083472920156,0.6834532374100719,0.6597222222222222,0.27865818403661247,207462,7
328,MCI,test,328,"M,F",0.7638483965014577,0.7054545454545454,0.7513784198771636,0.35572260983637366,0.7513784198771636,0.7404580152671756,0.6736111111111112,0.27865818403661247,207462,7
204,MCI,test,204,"M,F",0.7842565597667639,0.7430555555555556,0.7785629536571748,0.3771663427275672,0.7785629536571748,0.7430555555555556,0.7430555555555556,0.27865818403661247,207462,7
281,MCI,test,281,"M,F",0.4198250728862974,0.5913757700205339,0.5,0.29008746355685133,0.5,0.4198250728862974,1.0,0.27865818403661247,207462,7
841,MCI,test,841,"M,F",0.7638483965014577,0.7290969899665551,0.762894332774986,0.3612804607249966,0.762894332774986,0.7032258064516129,0.7569444444444444,0.27865818403661247,207462,7
31,MCI,test,31,"M,F",0.7696793002915452,0.7127272727272728,0.7573632049134562,0.3615539000042038,0.7573632049134562,0.7480916030534351,0.6805555555555556,0.27865818403661247,207462,7
