,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,AD,test,ADNetworkLong,23,"M,F",0.7084548104956269,0.4444444444444444,0.7684373202990222,0.44908569730883874,0.8012147786083956,0.3007518796992481,0.851063829787234,0.007907284423708916,50,756511,9
362,AD,test,ADNetworkLong,362,"M,F",0.7259475218658892,0.4659090909090909,0.7875215641173088,0.46680505806620376,0.8012147786083956,0.3178294573643411,0.8723404255319149,0.016518669202923775,30,756511,9
191,AD,test,ADNetworkLong,191,"M,F",0.6793002915451894,0.4270833333333333,0.7604945370902818,0.44926963972886086,0.8012147786083956,0.2827586206896552,0.8723404255319149,0.008929932489991188,50,756511,9
80,AD,test,ADNetworkLong,80,"M,F",0.7988338192419825,0.5241379310344828,0.8029039677975849,0.4742261646299858,0.8012147786083956,0.3877551020408163,0.8085106382978723,0.010685392655432224,50,756511,9
769,AD,test,ADNetworkLong,769,"M,F",0.7900874635568513,0.5,0.7799381828637147,0.44755448006921883,0.8012147786083956,0.3711340206185567,0.7659574468085106,0.01105932891368866,50,756511,9
328,AD,test,ADNetworkLong,328,"M,F",0.7288629737609329,0.4624277456647399,0.7802616446233467,0.4574399161893734,0.8012147786083956,0.31746031746031744,0.851063829787234,0.007855878211557865,50,756511,9
204,AD,test,ADNetworkLong,204,"M,F",0.7638483965014577,0.4840764331210191,0.7826336975273146,0.4530758863368503,0.8012147786083956,0.34545454545454546,0.8085106382978723,0.008546932600438595,50,756511,9
281,AD,test,ADNetworkLong,281,"M,F",0.8075801749271136,0.5147058823529411,0.7811242093156986,0.44943611131826794,0.8012147786083956,0.39325842696629215,0.7446808510638298,0.015857530757784843,50,756511,9
841,AD,test,ADNetworkLong,841,"M,F",0.5830903790087464,0.38095238095238093,0.7315986198964922,0.45499726254979334,0.8012147786083956,0.2391304347826087,0.9361702127659575,0.00748775340616703,50,756511,9
31,AD,test,ADNetworkLong,31,"M,F",0.7959183673469388,0.5205479452054794,0.8012147786083956,0.47226780552876946,0.8012147786083956,0.3838383838383838,0.8085106382978723,0.012619215063750744,50,756511,9
