,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,test,CNNetworkLong,23,"M,F",0.6909620991253644,0.7268041237113402,0.7134158926728585,0.33221288515406155,0.7041623667010664,0.6,0.9215686274509803,0.30806758999824524,50,856811,10
362,CN,test,CNNetworkLong,362,"M,F",0.7055393586005831,0.7186629526462396,0.7189370485036121,0.3235967063663191,0.7041623667010664,0.6262135922330098,0.8431372549019608,0.48581981658935547,50,856811,10
191,CN,test,CNNetworkLong,191,"M,F",0.6938775510204082,0.6902654867256637,0.7007739938080495,0.3032830643778248,0.7041623667010664,0.6290322580645161,0.7647058823529411,0.6114400029182434,50,856811,10
80,CN,test,CNNetworkLong,80,"M,F",0.6967930029154519,0.7011494252873564,0.7065875472996217,0.3106386877095161,0.7041623667010664,0.6256410256410256,0.7973856209150327,0.43358027935028076,50,856811,10
769,CN,test,CNNetworkLong,769,"M,F",0.7055393586005831,0.7349081364829396,0.7259373925008599,0.3374201811050234,0.7041623667010664,0.6140350877192983,0.9150326797385621,0.22706693410873413,50,856811,10
328,CN,test,CNNetworkLong,328,"M,F",0.6938775510204082,0.7229551451187335,0.7135018919848641,0.32806923865205584,0.7041623667010664,0.6061946902654868,0.8954248366013072,0.24691154062747955,50,856811,10
204,CN,test,CNNetworkLong,204,"M,F",0.7230320699708455,0.7021943573667712,0.7239078087375301,0.3170650933924918,0.7041623667010664,0.6746987951807228,0.7320261437908496,0.7240107655525208,50,856811,10
281,CN,test,CNNetworkLong,281,"M,F",0.7113702623906706,0.7113702623906706,0.7197454420364637,0.31887080646795063,0.7041623667010664,0.6421052631578947,0.7973856209150327,0.5599486231803894,50,856811,10
841,CN,test,CNNetworkLong,841,"M,F",0.7113702623906706,0.6934984520123839,0.7133814929480564,0.3091274605080127,0.7041623667010664,0.6588235294117647,0.7320261437908496,0.6928835511207581,50,856811,10
31,CN,test,CNNetworkLong,31,"M,F",0.6793002915451894,0.7222222222222222,0.7041623667010664,0.3300720640990082,0.7041623667010664,0.588477366255144,0.934640522875817,0.16929934918880463,50,856811,10
