,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,test,CNNetworkOpt,23,"M,F",0.7317784256559767,0.727810650887574,0.7388028895768833,0.33206085523012296,0.7312865497076023,0.6648648648648648,0.803921568627451,0.6113770008087158,50,286287,9
362,CN,test,CNNetworkOpt,362,"M,F",0.7142857142857143,0.7421052631578947,0.7344685242518059,0.3427855723787312,0.7312865497076023,0.6211453744493393,0.9215686274509803,0.48134955763816833,50,286287,9
191,CN,test,CNNetworkOpt,191,"M,F",0.7201166180758017,0.7,0.7212762297901617,0.3150450371194956,0.7312865497076023,0.6706586826347305,0.7320261437908496,0.6541319489479065,50,286287,9
80,CN,test,CNNetworkOpt,80,"M,F",0.7142857142857143,0.7215909090909091,0.7255589955280357,0.3259648918193743,0.7312865497076023,0.6381909547738693,0.8300653594771242,0.537213146686554,50,286287,9
769,CN,test,CNNetworkOpt,769,"M,F",0.7113702623906706,0.7428571428571429,0.733109735122119,0.34402303614385,0.7312865497076023,0.6163793103448276,0.934640522875817,0.46109363436698914,50,286287,9
328,CN,test,CNNetworkOpt,328,"M,F",0.717201166180758,0.7454068241469817,0.7377364981080151,0.34542664183467875,0.7312865497076023,0.6228070175438597,0.9281045751633987,0.494354248046875,50,286287,9
204,CN,test,CNNetworkOpt,204,"M,F",0.7259475218658892,0.7298850574712644,0.7360853113175095,0.3325104400734653,0.7312865497076023,0.6512820512820513,0.8300653594771242,0.6180201172828674,50,286287,9
281,CN,test,CNNetworkOpt,281,"M,F",0.7026239067055393,0.7068965517241379,0.7124871001031992,0.31501303818230586,0.7312865497076023,0.6307692307692307,0.803921568627451,0.5753032565116882,50,286287,9
841,CN,test,CNNetworkOpt,841,"M,F",0.7055393586005831,0.7154929577464789,0.7176642586859305,0.321225850076004,0.7312865497076023,0.6287128712871287,0.8300653594771242,0.5483251214027405,50,286287,9
31,CN,test,CNNetworkOpt,31,"M,F",0.7142857142857143,0.7351351351351352,0.7312865497076022,0.3365257009101643,0.7312865497076023,0.6267281105990783,0.8888888888888888,0.5422651767730713,50,286287,9
