,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,test,EMCINetwork,23,"M,F",0.7667638483965015,0.726027397260274,0.7625279173646008,0.36173217678319725,0.723426158570631,0.7162162162162162,0.7361111111111112,0.416176974773407,50,207462,7
362,EMCI,test,EMCINetwork,362,"M,F",0.7317784256559767,0.7142857142857143,0.7410140982691235,0.34478824301256084,0.723426158570631,0.6460674157303371,0.7986111111111112,0.5030966401100159,50,207462,7
191,EMCI,test,EMCINetwork,191,"M,F",0.7376093294460642,0.7169811320754716,0.7450795644891122,0.34732624576924365,0.723426158570631,0.6551724137931034,0.7916666666666666,0.17786568403244019,50,207462,7
80,EMCI,test,EMCINetwork,80,"M,F",0.7755102040816326,0.7458745874587459,0.7767832216638749,0.3730714545476771,0.723426158570631,0.710691823899371,0.7847222222222222,0.19371800124645233,50,207462,7
769,EMCI,test,EMCINetwork,769,"M,F",0.7201166180758017,0.7090909090909091,0.7328831658291457,0.34029965672905105,0.723426158570631,0.6290322580645161,0.8125,0.09484514594078064,50,207462,7
328,EMCI,test,EMCINetwork,328,"M,F",0.7026239067055393,0.7102272727272727,0.7254850642099386,0.34238026712516506,0.723426158570631,0.6009615384615384,0.8680555555555556,0.11794310808181763,50,207462,7
204,EMCI,test,EMCINetwork,204,"M,F",0.7317784256559767,0.7195121951219512,0.7438930764935789,0.3484501978845368,0.723426158570631,0.6413043478260869,0.8194444444444444,0.13726764917373657,23,207462,7
281,EMCI,test,EMCINetwork,281,"M,F",0.7405247813411079,0.7449856733524355,0.7629466778336125,0.3690451499996049,0.723426158570631,0.6341463414634146,0.9027777777777778,0.16090573370456696,16,207462,7
841,EMCI,test,EMCINetwork,841,"M,F",0.7026239067055393,0.7182320441988951,0.7302833612506979,0.35013711688257654,0.723426158570631,0.5963302752293578,0.9027777777777778,0.12289440631866455,30,207462,7
31,EMCI,test,EMCINetwork,31,"M,F",0.7113702623906706,0.6990881458966566,0.723426158570631,0.3325653459582031,0.723426158570631,0.6216216216216216,0.7986111111111112,0.17646624147891998,27,207462,7
