,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,test,EMCINetworkLong50,23,"M,F",0.7813411078717201,0.7311827956989247,0.7712520938023452,0.37334386135406544,0.7373150474595198,0.7555555555555555,0.7083333333333334,0.9033815860748291,50,428575,10
362,EMCI,test,EMCINetworkLong50,362,"M,F",0.7230320699708455,0.7181008902077152,0.7392343662758236,0.347313015386268,0.7373150474595198,0.6269430051813472,0.8402777777777778,0.4139479994773865,7,428575,10
191,EMCI,test,EMCINetworkLong50,191,"M,F",0.7551020408163265,0.7272727272727273,0.7582356225572305,0.35717446095743755,0.7373150474595198,0.6829268292682927,0.7777777777777778,0.868406355381012,50,428575,10
80,EMCI,test,EMCINetworkLong50,80,"M,F",0.7638483965014577,0.7235494880546075,0.7600153545505305,0.35932876666166624,0.7373150474595198,0.7114093959731543,0.7361111111111112,0.8471089005470276,12,428575,10
769,EMCI,test,EMCINetworkLong50,769,"M,F",0.7405247813411079,0.7210031347962382,0.7485517867113345,0.35032596371882085,0.7373150474595198,0.6571428571428571,0.7986111111111112,0.5202537178993225,17,428575,10
328,EMCI,test,EMCINetworkLong50,328,"M,F",0.7055393586005831,0.7020648967551623,0.7222396705750977,0.33494072537439884,0.7373150474595198,0.6102564102564103,0.8263888888888888,0.5176495313644409,48,428575,10
204,EMCI,test,EMCINetworkLong50,204,"M,F",0.7551020408163265,0.7272727272727273,0.7582356225572305,0.35717446095743755,0.7373150474595198,0.6829268292682927,0.7777777777777778,0.7943095564842224,15,428575,10
281,EMCI,test,EMCINetworkLong50,281,"M,F",0.6967930029154519,0.7158469945355191,0.7262178950307091,0.349031520587643,0.7373150474595198,0.5900900900900901,0.9097222222222222,0.23522032797336578,9,428575,10
841,EMCI,test,EMCINetworkLong50,841,"M,F",0.6938775510204082,0.7008547008547008,0.7160280569514237,0.3349719546203574,0.7373150474595198,0.5942028985507246,0.8541666666666666,0.3837074339389801,18,428575,10
31,EMCI,test,EMCINetworkLong50,31,"M,F",0.7230320699708455,0.7147147147147147,0.7373150474595198,0.3446273350610085,0.7373150474595198,0.6296296296296297,0.8263888888888888,0.3503516912460327,9,428575,10
