,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,test,EMCINetworkLong,23,"M,F",0.7463556851311953,0.6903914590747331,0.7363030429927415,0.33950820074293186,0.7827680067001674,0.708029197080292,0.6736111111111112,0.9256628155708313,50,856811,10
362,EMCI,test,EMCINetworkLong,362,"M,F",0.7434402332361516,0.7349397590361446,0.757781965382468,0.36032409417667777,0.7827680067001674,0.648936170212766,0.8472222222222222,0.2983555793762207,13,856811,10
191,EMCI,test,EMCINetworkLong,191,"M,F",0.7230320699708455,0.7147147147147147,0.7373150474595198,0.3446273350610085,0.7827680067001674,0.6296296296296297,0.8263888888888888,0.2754572331905365,37,856811,10
80,EMCI,test,EMCINetworkLong,80,"M,F",0.7317784256559767,0.7142857142857143,0.7410140982691235,0.34478824301256084,0.7827680067001674,0.6460674157303371,0.7986111111111112,0.34177669882774353,13,856811,10
769,EMCI,test,EMCINetworkLong,769,"M,F",0.7696793002915452,0.7285223367697594,0.7650404801786712,0.3641682863621639,0.7827680067001674,0.7210884353741497,0.7361111111111112,0.7668142914772034,15,856811,10
328,EMCI,test,EMCINetworkLong,328,"M,F",0.7055393586005831,0.7089337175792507,0.7260783082077051,0.3408261703696257,0.7827680067001674,0.6059113300492611,0.8541666666666666,0.2532683312892914,17,856811,10
204,EMCI,test,EMCINetworkLong,204,"M,F",0.7434402332361516,0.7300613496932515,0.7549029871580123,0.3567355971692706,0.7827680067001674,0.6538461538461539,0.8263888888888888,0.38481491804122925,13,856811,10
281,EMCI,test,EMCINetworkLong,281,"M,F",0.7463556851311953,0.7355623100303952,0.7593348687883863,0.36086853982262146,0.7827680067001674,0.654054054054054,0.8402777777777778,0.3890794813632965,10,856811,10
841,EMCI,test,EMCINetworkLong,841,"M,F",0.7084548104956269,0.7109826589595376,0.7285908710217754,0.34232595088954954,0.7827680067001674,0.6089108910891089,0.8541666666666666,0.27086812257766724,29,856811,10
31,EMCI,test,EMCINetworkLong,31,"M,F",0.7813411078717201,0.7524752475247525,0.7827680067001674,0.3782306049104277,0.7827680067001674,0.7169811320754716,0.7916666666666666,0.4298993647098541,7,856811,10
