,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,test,EMCINetworkOpt,23,"M,F",0.7113702623906706,0.7062314540059347,0.7272647962032384,0.3381026756866082,0.6933277498604131,0.616580310880829,0.8263888888888888,0.7939781546592712,50,239887,10
362,EMCI,test,EMCINetworkOpt,362,"M,F",0.7551020408163265,0.7469879518072289,0.769751535455053,0.36967223566224866,0.6933277498604131,0.6595744680851063,0.8611111111111112,0.7075451016426086,30,239887,10
191,EMCI,test,EMCINetworkOpt,191,"M,F",0.7346938775510204,0.7165109034267912,0.7435266610831938,0.3466132922095392,0.6933277498604131,0.6497175141242938,0.7986111111111112,0.7821615934371948,50,239887,10
80,EMCI,test,EMCINetworkOpt,80,"M,F",0.5801749271137027,0.0,0.5,0.29008746355685133,0.6933277498604131,0.0,0.0,0.5825518369674683,50,239887,10
769,EMCI,test,EMCINetworkOpt,769,"M,F",0.7317784256559767,0.7088607594936709,0.7381351200446677,0.34129244167212847,0.6933277498604131,0.6511627906976745,0.7777777777777778,0.7975826859474182,18,239887,10
328,EMCI,test,EMCINetworkOpt,328,"M,F",0.7288629737609329,0.7256637168141593,0.7461788107202679,0.35325512072961046,0.6933277498604131,0.6307692307692307,0.8541666666666666,0.7134212255477905,20,239887,10
204,EMCI,test,EMCINetworkOpt,204,"M,F",0.7405247813411079,0.7359050445103857,0.7571887213847012,0.36112852493575764,0.6933277498604131,0.6424870466321243,0.8611111111111112,0.5626710057258606,50,239887,10
281,EMCI,test,EMCINetworkOpt,281,"M,F",0.7667638483965015,0.75,0.775963149078727,0.372736107429985,0.6933277498604131,0.6818181818181818,0.8333333333333334,0.7592566609382629,24,239887,10
841,EMCI,test,EMCINetworkOpt,841,"M,F",0.6443148688046647,0.6887755102040817,0.6848304020100502,0.3342218799962381,0.6933277498604131,0.5443548387096774,0.9375,0.4334038496017456,50,239887,10
31,EMCI,test,EMCINetworkOpt,31,"M,F",0.6530612244897959,0.6956521739130435,0.6933277498604131,0.3393626006407961,0.6933277498604131,0.5506072874493927,0.9444444444444444,0.362739622592926,26,239887,10
