,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,test,FTDNetworkLong75,23,"M,F",0.8600583090379009,0.42857142857142855,0.8787925696594427,0.5352314139941691,0.7799535603715171,0.28125,0.9,0.008098351769149303,50,286000,8
362,FTD,test,FTDNetworkLong75,362,"M,F",0.8717201166180758,0.45,0.8849845201238391,0.5446064139941691,0.7799535603715171,0.3,0.9,0.013906119391322136,50,286000,8
191,FTD,test,FTDNetworkLong75,191,"M,F",0.7580174927113703,0.3140495867768595,0.8480650154798761,0.5122080939872413,0.7799535603715171,0.18811881188118812,0.95,0.008052497170865536,50,286000,8
80,FTD,test,FTDNetworkLong75,80,"M,F",0.9125364431486881,0.5454545454545454,0.9066563467492259,0.5902585879072126,0.7799535603715171,0.391304347826087,0.9,0.01166780386120081,50,286000,8
769,FTD,test,FTDNetworkLong75,769,"M,F",0.8396501457725948,0.3956043956043956,0.8679566563467492,0.5213669773744508,0.7799535603715171,0.2535211267605634,0.9,0.007031237706542015,50,286000,8
328,FTD,test,FTDNetworkLong75,328,"M,F",0.9475218658892128,0.6538461538461539,0.901780185758514,0.636689139941691,0.7799535603715171,0.53125,0.85,0.06640022993087769,50,286000,8
204,FTD,test,FTDNetworkLong75,204,"M,F",0.8338192419825073,0.3870967741935484,0.864860681114551,0.5178940852270458,0.7799535603715171,0.2465753424657534,0.9,0.01143472921103239,50,286000,8
281,FTD,test,FTDNetworkLong75,281,"M,F",0.7959183673469388,0.33962264150943394,0.8447368421052631,0.49925757678486676,0.7799535603715171,0.20930232558139536,0.9,0.009631614200770855,50,286000,8
841,FTD,test,FTDNetworkLong75,841,"M,F",0.8309037900874635,0.3829787234042553,0.863312693498452,0.5162280356157908,0.7799535603715171,0.24324324324324326,0.9,0.00896258745342493,50,286000,8
31,FTD,test,FTDNetworkLong75,31,"M,F",0.6297376093294461,0.23030303030303031,0.779953560371517,0.48366592942595754,0.7799535603715171,0.1310344827586207,0.95,0.013319987803697586,50,286000,8
