,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,LMCI,test,LMCINetworkLong75,23,"M,F",0.8483965014577259,0.7523809523809524,0.8127524075799937,0.47787782481660035,0.8238971730351041,0.797979797979798,0.7117117117117117,0.8209554553031921,50,286000,8
362,LMCI,test,LMCINetworkLong75,362,"M,F",0.8104956268221575,0.7302904564315352,0.8058791550170861,0.4447704713010836,0.8238971730351041,0.676923076923077,0.7927927927927928,0.6165897846221924,50,286000,8
191,LMCI,test,LMCINetworkLong75,191,"M,F",0.7988338192419825,0.7294117647058823,0.8090051258154707,0.4444594922911249,0.8238971730351041,0.6458333333333334,0.8378378378378378,0.4041781425476074,50,286000,8
80,LMCI,test,LMCINetworkLong75,80,"M,F",0.8134110787172012,0.7419354838709677,0.8174316557937247,0.45426247042513984,0.8238971730351041,0.6715328467153284,0.8288288288288288,0.5344598889350891,50,286000,8
769,LMCI,test,LMCINetworkLong75,769,"M,F",0.8221574344023324,0.7468879668049793,0.8191985088536813,0.4585563361073565,0.8238971730351041,0.6923076923076923,0.8108108108108109,0.4703109860420227,50,286000,8
328,LMCI,test,LMCINetworkLong75,328,"M,F",0.7871720116618076,0.7159533073929961,0.7980351040695868,0.4335645402181606,0.8238971730351041,0.6301369863013698,0.8288288288288288,0.37100157141685486,50,286000,8
204,LMCI,test,LMCINetworkLong75,204,"M,F",0.8338192419825073,0.759493670886076,0.8278191985088539,0.4695453470963675,0.8238971730351041,0.7142857142857143,0.8108108108108109,0.5093252062797546,50,286000,8
281,LMCI,test,LMCINetworkLong75,281,"M,F",0.7959183673469388,0.7244094488188977,0.8045006213109661,0.4401743687457973,0.8238971730351041,0.6433566433566433,0.8288288288288288,0.3726758658885956,50,286000,8
841,LMCI,test,LMCINetworkLong75,841,"M,F",0.8338192419825073,0.7420814479638009,0.8090245417831624,0.460755534224922,0.8238971730351041,0.7454545454545455,0.7387387387387387,0.6713971495628357,50,286000,8
31,LMCI,test,LMCINetworkLong75,31,"M,F",0.8221574344023324,0.7510204081632653,0.8238971730351041,0.46177962915702786,0.8238971730351041,0.6865671641791045,0.8288288288288288,0.46074625849723816,50,286000,8
