,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,PD,test,PDNetworkOpt,23,"M,F",0.6297376093294461,0.2485207100591716,0.7114171317641349,0.40875960773919956,0.7571584566852706,0.14685314685314685,0.8076923076923077,0.028452953323721886,31,428862,11
362,PD,test,PDNetworkOpt,362,"M,F",0.7696793002915452,0.3008849557522124,0.7165129822858529,0.36194201060492404,0.7571584566852706,0.19540229885057472,0.6538461538461539,0.03046516887843609,26,428862,11
191,PD,test,PDNetworkOpt,191,"M,F",0.8250728862973761,0.375,0.7641349187090511,0.41058533303431266,0.7571584566852706,0.2571428571428571,0.6923076923076923,0.028310999274253845,36,428862,11
80,PD,test,PDNetworkOpt,80,"M,F",0.8017492711370262,0.32,0.7162096578500364,0.35457592600449744,0.7571584566852706,0.21621621621621623,0.6153846153846154,0.025513041764497757,50,428862,11
769,PD,test,PDNetworkOpt,769,"M,F",0.8279883381924198,0.3058823529411765,0.6774447949526814,0.30331817957207097,0.7571584566852706,0.22033898305084745,0.5,0.02484011836349964,50,428862,11
328,PD,test,PDNetworkOpt,328,"M,F",0.6501457725947521,0.25,0.7048046590633341,0.3921868567010206,0.7571584566852706,0.14925373134328357,0.7692307692307693,0.03779967874288559,50,428862,11
204,PD,test,PDNetworkOpt,204,"M,F",0.6005830903790087,0.25136612021857924,0.7309512254307207,0.444127528522433,0.7571584566852706,0.1464968152866242,0.8846153846153846,0.024337779730558395,50,428862,11
281,PD,test,PDNetworkOpt,281,"M,F",0.7405247813411079,0.2992125984251969,0.7360470759524388,0.3938463536867255,0.7571584566852706,0.18811881188118812,0.7307692307692307,0.037020888179540634,31,428862,11
841,PD,test,PDNetworkOpt,841,"M,F",0.7696793002915452,0.3130434782608696,0.7341664644503763,0.383137499968502,0.7571584566852706,0.20224719101123595,0.6923076923076923,0.024538006633520126,50,428862,11
31,PD,test,PDNetworkOpt,31,"M,F",0.7142857142857143,0.3,0.7571584566852707,0.42743829747052087,0.7571584566852706,0.18421052631578946,0.8076923076923077,0.03686212748289108,19,428862,11
