,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,AD,validation,ADNetworkLong50,23,"M,F",0.597667638483965,0.1038961038961039,0.4178766532489937,,0.519551466359977,0.07476635514018691,0.1702127659574468,0.014466468244791031,50,428575,10
362,AD,validation,ADNetworkLong50,362,"M,F",0.6326530612244898,0.2222222222222222,0.5276380103507763,0.17499804467842378,0.519551466359977,0.1565217391304348,0.3829787234042553,0.0328824408352375,27,428575,10
191,AD,validation,ADNetworkLong50,191,"M,F",0.6384839650145773,0.2619047619047619,0.5668128234617597,0.22436855372157155,0.519551466359977,0.18181818181818182,0.46808510638297873,0.020806729793548584,50,428575,10
80,AD,validation,ADNetworkLong50,80,"M,F",0.6559766763848397,0.21333333333333335,0.5232533064979874,0.15604593417619061,0.519551466359977,0.1553398058252427,0.3404255319148936,0.013562958687543869,50,428575,10
769,AD,validation,ADNetworkLong50,769,"M,F",0.6676384839650146,0.25,0.5568573893041978,0.1963939375142154,0.519551466359977,0.18095238095238095,0.40425531914893614,0.011826382018625736,50,428575,10
328,AD,validation,ADNetworkLong50,328,"M,F",0.5481049562682215,0.22110552763819097,0.5144479585968947,0.20582788386511222,0.519551466359977,0.14473684210526316,0.46808510638297873,0.01801396533846855,50,428575,10
204,AD,validation,ADNetworkLong50,204,"M,F",0.5830903790087464,0.2011173184357542,0.49892179413456006,,0.519551466359977,0.13636363636363635,0.3829787234042553,0.029656697064638138,27,428575,10
281,AD,validation,ADNetworkLong50,281,"M,F",0.6326530612244898,0.16,0.47394335825186884,,0.519551466359977,0.11650485436893204,0.2553191489361702,0.01421929057687521,50,428575,10
841,AD,validation,ADNetworkLong50,841,"M,F",0.6355685131195336,0.20382165605095542,0.5114289821736631,0.151103303990842,0.519551466359977,0.14545454545454545,0.3404255319148936,0.008941617794334888,50,428575,10
31,AD,validation,ADNetworkLong50,31,"M,F",0.7113702623906706,0.1951219512195122,0.519551466359977,0.12060111198534763,0.519551466359977,0.15789473684210525,0.2553191489361702,0.06356757134199142,28,428575,10
