,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,validation,EMCINetworkLong50,23,"M,F",0.7900874635568513,0.7464788732394366,0.7831293706293706,0.38354213451912106,0.7475699300699301,0.75177304964539,0.7412587412587412,0.9033815860748291,50,428575,10
362,EMCI,validation,EMCINetworkLong50,362,"M,F",0.7813411078717201,0.7648902821316614,0.7915734265734266,0.3868669595710412,0.7475699300699301,0.6931818181818182,0.8531468531468531,0.4139479994773865,7,428575,10
191,EMCI,validation,EMCINetworkLong50,191,"M,F",0.8309037900874635,0.8079470198675497,0.8340734265734265,0.42392384922227044,0.7475699300699301,0.7672955974842768,0.8531468531468531,0.868406355381012,50,428575,10
80,EMCI,validation,EMCINetworkLong50,80,"M,F",0.7959183673469388,0.7697368421052632,0.7990909090909092,0.3934362000023047,0.7475699300699301,0.7267080745341615,0.8181818181818182,0.8471089005470276,12,428575,10
769,EMCI,validation,EMCINetworkLong50,769,"M,F",0.7463556851311953,0.7387387387387387,0.76256993006993,0.3659990385554295,0.7475699300699301,0.6473684210526316,0.8601398601398601,0.5202537178993225,17,428575,10
328,EMCI,validation,EMCINetworkLong50,328,"M,F",0.7551020408163265,0.7391304347826086,0.766083916083916,0.36656195247005874,0.7475699300699301,0.664804469273743,0.8321678321678322,0.5176495313644409,48,428575,10
204,EMCI,validation,EMCINetworkLong50,204,"M,F",0.7784256559766763,0.7532467532467533,0.7830944055944056,0.37955853670139383,0.7475699300699301,0.703030303030303,0.8111888111888111,0.7943095564842224,15,428575,10
281,EMCI,validation,EMCINetworkLong50,281,"M,F",0.7434402332361516,0.751412429378531,0.770034965034965,0.3778684802961812,0.7475699300699301,0.6303317535545023,0.9300699300699301,0.23522032797336578,9,428575,10
841,EMCI,validation,EMCINetworkLong50,841,"M,F",0.7434402332361516,0.7365269461077845,0.76006993006993,0.3643043568249252,0.7475699300699301,0.643979057591623,0.8601398601398601,0.3837074339389801,18,428575,10
31,EMCI,validation,EMCINetworkLong50,31,"M,F",0.7288629737609329,0.7256637168141593,0.74756993006993,0.3560903382331953,0.7475699300699301,0.6275510204081632,0.8601398601398601,0.3503516912460327,9,428575,10
