,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,validation,EMCINetworkLong,23,"M,F",0.47230320699708456,0.3693379790940767,0.45789712451144615,,0.4858144891122278,0.3706293706293706,0.3680555555555556,0.9256628155708313,50,856811,10
362,EMCI,validation,EMCINetworkLong,362,"M,F",0.4868804664723032,0.4601226993865031,0.4915724455611391,,0.4858144891122278,0.41208791208791207,0.5208333333333334,0.2983555793762207,13,856811,10
191,EMCI,validation,EMCINetworkLong,191,"M,F",0.5072886297376094,0.4702194357366771,0.5091603852596316,0.1554603984450923,0.4858144891122278,0.42857142857142855,0.5208333333333334,0.2754572331905365,37,856811,10
80,EMCI,validation,EMCINetworkLong,80,"M,F",0.5102040816326531,0.48466257668711654,0.5155115857063093,0.1662656362911465,0.4858144891122278,0.4340659340659341,0.5486111111111112,0.34177669882774353,13,856811,10
769,EMCI,validation,EMCINetworkLong,769,"M,F",0.5568513119533528,0.4794520547945205,0.5470756560580682,0.1675886892723627,0.4858144891122278,0.47297297297297297,0.4861111111111111,0.7668142914772034,15,856811,10
328,EMCI,validation,EMCINetworkLong,328,"M,F",0.5014577259475219,0.49258160237388726,0.5118125348967058,0.17231656109273216,0.4858144891122278,0.43005181347150256,0.5763888888888888,0.2532683312892914,17,856811,10
204,EMCI,validation,EMCINetworkLong,204,"M,F",0.46938775510204084,0.45180722891566266,0.47649706867671693,,0.4858144891122278,0.39893617021276595,0.5208333333333334,0.38481491804122925,13,856811,10
281,EMCI,validation,EMCINetworkLong,281,"M,F",0.43731778425655976,0.4133738601823708,0.44214126186488,,0.4858144891122278,0.3675675675675676,0.4722222222222222,0.3890794813632965,10,856811,10
841,EMCI,validation,EMCINetworkLong,841,"M,F",0.565597667638484,0.547112462006079,0.5738065326633166,0.21463537152312662,0.4858144891122278,0.4864864864864865,0.625,0.27086812257766724,29,856811,10
31,EMCI,validation,EMCINetworkLong,31,"M,F",0.4868804664723032,0.4394904458598726,0.48581448911222785,,0.4858144891122278,0.40588235294117647,0.4791666666666667,0.4298993647098541,7,856811,10
