,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,validation,EMCINetworkOpt,23,"M,F",0.4577259475218659,0.4685714285714286,0.4731644332774986,,0.5058800949190396,0.39805825242718446,0.5694444444444444,0.7939781546592712,50,239887,10
362,EMCI,validation,EMCINetworkOpt,362,"M,F",0.4956268221574344,0.4709480122324159,0.5010294528196538,0.15558619036998095,0.5058800949190396,0.4207650273224044,0.5347222222222222,0.7075451016426086,30,239887,10
191,EMCI,validation,EMCINetworkOpt,191,"M,F",0.521865889212828,0.4810126582278481,0.5226828587381351,0.16411941299221794,0.5058800949190396,0.4418604651162791,0.5277777777777778,0.7821615934371948,50,239887,10
80,EMCI,validation,EMCINetworkOpt,80,"M,F",0.5801749271137027,0.0,0.5,0.29008746355685133,0.5058800949190396,0.0,0.0,0.5825518369674683,50,239887,10
769,EMCI,validation,EMCINetworkOpt,769,"M,F",0.5247813411078717,0.48253968253968255,0.5251954215522054,0.1654114026563006,0.5058800949190396,0.4444444444444444,0.5277777777777778,0.7975826859474182,18,239887,10
328,EMCI,validation,EMCINetworkOpt,328,"M,F",0.5072886297376094,0.4668769716088328,0.5082007258514796,0.15303302025461987,0.5058800949190396,0.4277456647398844,0.5138888888888888,0.7134212255477905,20,239887,10
204,EMCI,validation,EMCINetworkOpt,204,"M,F",0.4606413994169096,0.47592067988668557,0.47759631490787274,,0.5058800949190396,0.4019138755980861,0.5833333333333334,0.5626710057258606,50,239887,10
281,EMCI,validation,EMCINetworkOpt,281,"M,F",0.46938775510204084,0.4276729559748428,0.46977945281965383,,0.5058800949190396,0.39080459770114945,0.4722222222222222,0.7592566609382629,24,239887,10
841,EMCI,validation,EMCINetworkOpt,841,"M,F",0.5160349854227405,0.5489130434782609,0.5416492183137912,0.21899801587301582,0.5058800949190396,0.45089285714285715,0.7013888888888888,0.4334038496017456,50,239887,10
31,EMCI,validation,EMCINetworkOpt,31,"M,F",0.47230320699708456,0.5322997416020672,0.5058800949190396,0.20951473622958885,0.5058800949190396,0.42386831275720166,0.7152777777777778,0.362739622592926,26,239887,10
