,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,validation,FTDNetwork,23,"M,F",0.8396501457725948,0.3956043956043956,0.8679566563467492,0.5213669773744508,0.7505417956656346,0.2535211267605634,0.9,0.037754885852336884,50,207462,7
362,FTD,validation,FTDNetwork,362,"M,F",0.8658892128279884,0.425,0.85843653250774,0.5127308066083576,0.7505417956656346,0.2833333333333333,0.85,0.023873256519436836,50,207462,7
191,FTD,validation,FTDNetwork,191,"M,F",0.7842565597667639,0.3148148148148148,0.815092879256966,0.4676550490326,0.7505417956656346,0.19318181818181818,0.85,0.025042427703738213,50,207462,7
80,FTD,validation,FTDNetwork,80,"M,F",0.967930029154519,0.7317073170731707,0.8657120743034056,0.6811224489795918,0.7505417956656346,0.7142857142857143,0.75,0.12278416007757187,50,207462,7
769,FTD,validation,FTDNetwork,769,"M,F",0.8367346938775511,0.36363636363636365,0.8195046439628484,0.4651689247127423,0.7505417956656346,0.23529411764705882,0.8,0.016611948609352112,50,207462,7
328,FTD,validation,FTDNetwork,328,"M,F",0.956268221574344,0.6511627906976745,0.8360681114551084,0.6047851438712131,0.7505417956656346,0.6086956521739131,0.7,0.07261886447668076,50,207462,7
204,FTD,validation,FTDNetwork,204,"M,F",0.8221574344023324,0.34408602150537637,0.8117647058823529,0.45711090698510326,0.7505417956656346,0.2191780821917808,0.8,0.030667820945382118,50,207462,7
281,FTD,validation,FTDNetwork,281,"M,F",0.880466472303207,0.4533333333333333,0.8661764705882353,0.5256095944871455,0.7505417956656346,0.3090909090909091,0.85,0.03838629648089409,50,207462,7
841,FTD,validation,FTDNetwork,841,"M,F",0.8775510204081632,0.46153846153846156,0.8880804953560371,0.5497788277872725,0.7505417956656346,0.3103448275862069,0.9,0.03795207291841507,50,207462,7
31,FTD,validation,FTDNetwork,31,"M,F",0.5743440233236151,0.20652173913043478,0.7505417956656346,0.47607551731493986,0.7505417956656346,0.11585365853658537,0.95,0.016796449199318886,50,207462,7
