,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,validation,FTDNetworkLong,23,"M,F",0.8046647230320699,0.10666666666666667,0.5210526315789473,0.10137821362311158,0.46091331269349844,0.07272727272727272,0.2,0.00978419091552496,50,856811,10
362,FTD,validation,FTDNetworkLong,362,"M,F",0.7434402332361516,0.12,0.5354489164086688,0.1495991253644315,0.46091331269349844,0.075,0.3,0.011441490612924099,50,856811,10
191,FTD,validation,FTDNetworkLong,191,"M,F",0.717201166180758,0.0761904761904762,0.4746130030959752,,0.46091331269349844,0.047058823529411764,0.2,0.007517742924392223,50,856811,10
80,FTD,validation,FTDNetworkLong,80,"M,F",0.8658892128279884,0.08,0.506656346749226,0.051263362487852286,0.46091331269349844,0.06666666666666667,0.1,0.03478709235787392,50,856811,10
769,FTD,validation,FTDNetworkLong,769,"M,F",0.6559766763848397,0.09230769230769231,0.48900928792569665,,0.46091331269349844,0.05454545454545454,0.3,0.007357066031545401,50,856811,10
328,FTD,validation,FTDNetworkLong,328,"M,F",0.7755102040816326,0.02531645569620253,0.4352167182662539,,0.46091331269349844,0.01694915254237288,0.05,0.011652703396975994,50,856811,10
204,FTD,validation,FTDNetworkLong,204,"M,F",0.8046647230320699,0.0821917808219178,0.49760061919504645,,0.46091331269349844,0.05660377358490566,0.15,0.012406871654093266,50,856811,10
281,FTD,validation,FTDNetworkLong,281,"M,F",0.6997084548104956,0.11965811965811966,0.5356811145510836,0.17172387364371375,0.46091331269349844,0.07216494845360824,0.35,0.007610499858856201,50,856811,10
841,FTD,validation,FTDNetworkLong,841,"M,F",0.7434402332361516,0.12,0.5354489164086688,0.1495991253644315,0.46091331269349844,0.075,0.3,0.005757065489888191,50,856811,10
31,FTD,validation,FTDNetworkLong,31,"M,F",0.6472303206997084,0.07633587786259542,0.46091331269349844,,0.46091331269349844,0.04504504504504504,0.25,0.010666253976523876,50,856811,10
