,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,LMCI,validation,LMCINetwork,23,"M,F",0.8454810495626822,0.7623318385650224,0.8262777994537651,0.478213271287138,0.8041943035505268,0.7522123893805309,0.7727272727272727,0.2770906388759613,50,207462,7
362,LMCI,validation,LMCINetwork,362,"M,F",0.8192419825072886,0.743801652892562,0.8189621537261024,0.45845481049562686,0.8041943035505268,0.6818181818181818,0.8181818181818182,0.3611842691898346,50,207462,7
191,LMCI,validation,LMCINetwork,191,"M,F",0.7988338192419825,0.7315175097276264,0.8135388216933281,0.44962452513472917,0.8041943035505268,0.6394557823129252,0.8545454545454545,0.09895478934049606,50,207462,7
80,LMCI,validation,LMCINetwork,80,"M,F",0.8367346938775511,0.7666666666666667,0.8366367538041357,0.47756733062855516,0.8041943035505268,0.7076923076923077,0.8363636363636363,0.20140278339385986,22,207462,7
769,LMCI,validation,LMCINetwork,769,"M,F",0.8221574344023324,0.7468879668049793,0.8211080764728834,0.46105716996821533,0.8041943035505268,0.6870229007633588,0.8181818181818182,0.09142457693815231,50,207462,7
328,LMCI,validation,LMCINetwork,328,"M,F",0.8279883381924198,0.7551867219917012,0.827799453765119,0.46796169245927777,0.8041943035505268,0.6946564885496184,0.8272727272727273,0.17675276100635529,50,207462,7
204,LMCI,validation,LMCINetwork,204,"M,F",0.8542274052478134,0.7807017543859649,0.8423136948888023,0.49157663505639987,0.8041943035505268,0.7542372881355932,0.8090909090909091,0.1056341677904129,50,207462,7
281,LMCI,validation,LMCINetwork,281,"M,F",0.760932944606414,0.7112676056338029,0.8024385485758876,0.4417406192212667,0.8041943035505268,0.5804597701149425,0.9181818181818182,0.0806092694401741,21,207462,7
841,LMCI,validation,LMCINetwork,841,"M,F",0.8309037900874635,0.7433628318584071,0.8131486539211861,0.46108831351618124,0.8041943035505268,0.7241379310344828,0.7636363636363637,0.17401568591594696,50,207462,7
31,LMCI,validation,LMCINetwork,31,"M,F",0.7959183673469388,0.7222222222222222,0.8041943035505267,0.44105598339573615,0.8041943035505268,0.6408450704225352,0.8272727272727273,0.2967061996459961,50,207462,7
