,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,MCI,validation,MCINetworkLong50,23,"M,F",0.5014577259475219,0.44660194174757284,0.4983773031825796,,0.4894262981574539,0.41818181818181815,0.4791666666666667,0.331869512796402,50,428575,10
362,MCI,validation,MCINetworkLong50,362,"M,F",0.47230320699708456,0.46607669616519176,0.48284826912339474,,0.4894262981574539,0.40512820512820513,0.5486111111111112,0.09508292376995087,50,428575,10
191,MCI,validation,MCINetworkLong50,191,"M,F",0.5364431486880467,0.4682274247491639,0.5294877163595757,0.15690865439877943,0.4894262981574539,0.45161290322580644,0.4861111111111111,0.19650474190711975,50,428575,10
80,MCI,validation,MCINetworkLong50,80,"M,F",0.5247813411078717,0.4890282131661442,0.5271147403685092,0.17007531584062194,0.4894262981574539,0.44571428571428573,0.5416666666666666,0.22371003031730652,18,428575,10
769,MCI,validation,MCINetworkLong50,769,"M,F",0.5422740524781341,0.44912280701754387,0.5287548855388051,0.14596557974760316,0.4894262981574539,0.45390070921985815,0.4444444444444444,0.7558427453041077,32,428575,10
328,MCI,validation,MCINetworkLong50,328,"M,F",0.4956268221574344,0.4676923076923077,0.5000697934115019,0.15313393181529383,0.4894262981574539,0.4198895027624309,0.5277777777777778,0.05733494088053703,50,428575,10
204,MCI,validation,MCINetworkLong50,204,"M,F",0.47230320699708456,0.45645645645645644,0.47996929089893914,,0.4894262981574539,0.4021164021164021,0.5277777777777778,0.1230354905128479,30,428575,10
281,MCI,validation,MCINetworkLong50,281,"M,F",0.4314868804664723,0.4507042253521127,0.44863204913456173,,0.4894262981574539,0.3791469194312796,0.5555555555555556,0.1973760724067688,15,428575,10
841,MCI,validation,MCINetworkLong50,841,"M,F",0.5276967930029155,0.4375,0.5152324120603016,0.13575072886297376,0.4894262981574539,0.4375,0.4375,0.19712309539318085,37,428575,10
31,MCI,validation,MCINetworkLong50,31,"M,F",0.48104956268221577,0.46706586826347307,0.48942629815745387,,0.4894262981574539,0.4105263157894737,0.5416666666666666,0.1964261680841446,19,428575,10
