,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,PD,validation,PDNetworkLong50,23,"M,F",0.6559766763848397,0.078125,0.44315700072797864,,0.5005459839844698,0.049019607843137254,0.19230769230769232,0.018909811973571777,26,428575,10
362,PD,validation,PDNetworkLong50,362,"M,F",0.7463556851311953,0.08421052631578947,0.47439941761708315,,0.5005459839844698,0.057971014492753624,0.15384615384615385,0.42336568236351013,18,428575,10
191,PD,validation,PDNetworkLong50,191,"M,F",0.6997084548104956,0.08849557522123894,0.4668163067216695,,0.5005459839844698,0.05747126436781609,0.19230769230769232,0.026698527857661247,20,428575,10
80,PD,validation,PDNetworkLong50,80,"M,F",0.7521865889212828,0.12371134020618557,0.5128609560786217,0.11099090619067625,0.5005459839844698,0.08450704225352113,0.23076923076923078,0.023040860891342163,33,428575,10
769,PD,validation,PDNetworkLong50,769,"M,F",0.7230320699708455,0.1592920353982301,0.5500485319097306,0.17378065284469224,0.5005459839844698,0.10344827586206896,0.34615384615384615,0.030889078974723816,21,428575,10
328,PD,validation,PDNetworkLong50,328,"M,F",0.5276967930029155,0.1,0.4443702984712449,,0.5005459839844698,0.05844155844155844,0.34615384615384615,0.015022775158286095,50,428575,10
204,PD,validation,PDNetworkLong50,204,"M,F",0.5743440233236151,0.12048192771084337,0.4872603736957049,,0.5005459839844698,0.07142857142857142,0.38461538461538464,0.017147544771432877,34,428575,10
281,PD,validation,PDNetworkLong50,281,"M,F",0.7667638483965015,0.09090909090909091,0.4854404270808056,,0.5005459839844698,0.06451612903225806,0.15384615384615385,0.01626741513609886,38,428575,10
841,PD,validation,PDNetworkLong50,841,"M,F",0.5539358600583091,0.15469613259668508,0.5468332928900752,0.2560830216524752,0.5005459839844698,0.09032258064516129,0.5384615384615384,0.015275215730071068,41,428575,10
31,PD,validation,PDNetworkLong50,31,"M,F",0.6967930029154519,0.11864406779661017,0.5005459839844698,0.12455390660803259,0.5005459839844698,0.07608695652173914,0.2692307692307692,0.03200628235936165,19,428575,10
