,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,PD,validation,PDNetworkOpt,23,"M,F",0.5860058309037901,0.1125,0.47591603979616603,,0.4494661489929629,0.06716417910447761,0.34615384615384615,0.028452953323721886,31,428862,11
362,PD,validation,PDNetworkOpt,362,"M,F",0.6705539358600583,0.096,0.46869691822373216,,0.4494661489929629,0.06060606060606061,0.23076923076923078,0.03046516887843609,26,428862,11
191,PD,validation,PDNetworkOpt,191,"M,F",0.7230320699708455,0.09523809523809523,0.47943460325163795,,0.4494661489929629,0.06329113924050633,0.19230769230769232,0.028310999274253845,36,428862,11
80,PD,validation,PDNetworkOpt,80,"M,F",0.7230320699708455,0.07766990291262135,0.4617811210871148,,0.4494661489929629,0.05194805194805195,0.15384615384615385,0.025513041764497757,50,428862,11
769,PD,validation,PDNetworkOpt,769,"M,F",0.7638483965014577,0.12903225806451613,0.5191701043436059,0.11351350446690074,0.4494661489929629,0.08955223880597014,0.23076923076923078,0.02484011836349964,50,428862,11
328,PD,validation,PDNetworkOpt,328,"M,F",0.6034985422740525,0.11688311688311688,0.4853797621936423,,0.4494661489929629,0.0703125,0.34615384615384615,0.03779967874288559,50,428862,11
204,PD,validation,PDNetworkOpt,204,"M,F",0.5276967930029155,0.11956521739130435,0.4796772628002912,,0.4494661489929629,0.06962025316455696,0.4230769230769231,0.024337779730558395,50,428862,11
281,PD,validation,PDNetworkOpt,281,"M,F",0.6618075801749271,0.12121212121212122,0.49927202135404025,,0.4494661489929629,0.07547169811320754,0.3076923076923077,0.037020888179540634,31,428862,11
841,PD,validation,PDNetworkOpt,841,"M,F",0.7113702623906706,0.1391304347826087,0.5260859014802233,0.1492272918551295,0.4494661489929629,0.0898876404494382,0.3076923076923077,0.024538006633520126,50,428862,11
31,PD,validation,PDNetworkOpt,31,"M,F",0.6676384839650146,0.08064516129032258,0.4494661489929629,,0.4494661489929629,0.05102040816326531,0.19230769230769232,0.03686212748289108,19,428862,11
