,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,AD,test,ADNetwork,23,"M,F",0.8367346938775511,0.5,0.7353723404255319,0.4039275097460074,0.7588412880966072,0.4307692307692308,0.5957446808510638,0.02839428372681141,500,207462,7
362,AD,test,ADNetwork,362,"M,F",0.7521865889212828,0.49101796407185627,0.8027242668200115,0.4787236627173666,0.7588412880966072,0.3416666666666667,0.8723404255319149,0.030665483325719833,30,207462,7
191,AD,test,ADNetwork,191,"M,F",0.6034985422740525,0.39285714285714285,0.7434229442208165,0.45972583046922344,0.7588412880966072,0.24858757062146894,0.9361702127659575,0.02417837828397751,500,207462,7
80,AD,test,ADNetwork,80,"M,F",0.8688046647230321,0.5714285714285714,0.7718516388729155,0.4655247278662016,0.7588412880966072,0.5172413793103449,0.6382978723404256,0.026833154261112213,500,207462,7
769,AD,test,ADNetwork,769,"M,F",0.8163265306122449,0.4878048780487805,0.74144623346751,0.40427245926366073,0.7588412880966072,0.39473684210526316,0.6382978723404256,0.025365959852933884,500,207462,7
328,AD,test,ADNetwork,328,"M,F",0.7696793002915452,0.4968152866242038,0.7949611845888441,0.46680191280712346,0.7588412880966072,0.35454545454545455,0.8297872340425532,0.026430560275912285,51,207462,7
204,AD,test,ADNetwork,204,"M,F",0.8075801749271136,0.5074626865671642,0.7721751006325474,0.43902862476087806,0.7588412880966072,0.39080459770114945,0.723404255319149,0.027481762692332268,500,207462,7
281,AD,test,ADNetwork,281,"M,F",0.8746355685131195,0.5473684210526316,0.739433582518689,0.44101508384508825,0.7588412880966072,0.5416666666666666,0.5531914893617021,0.059585440903902054,500,207462,7
841,AD,test,ADNetwork,841,"M,F",0.8600583090379009,0.5714285714285714,0.7846822886716504,0.4714190282145124,0.7588412880966072,0.49230769230769234,0.6808510638297872,0.030073124915361404,500,207462,7
31,AD,test,ADNetwork,31,"M,F",0.8309037900874635,0.5166666666666667,0.7588412880966072,0.4284133772591353,0.7588412880966072,0.4246575342465753,0.6595744680851063,0.023723827674984932,52,207462,7
