,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,AD,test,ADNetworkLong50,23,"M,F",0.8075801749271136,0.5285714285714286,0.7990224266820011,0.47009277286755474,0.8040899942495687,0.3978494623655914,0.7872340425531915,0.010276450775563717,142,428575,10
362,AD,test,ADNetworkLong50,362,"M,F",0.7434402332361516,0.4634146341463415,0.7708093732029903,0.44274177600274,0.8040899942495687,0.3247863247863248,0.8085106382978723,0.02400878071784973,50,428575,10
191,AD,test,ADNetworkLong50,191,"M,F",0.7725947521865889,0.4868421052631579,0.7787521564117309,0.4473585178752352,0.8040899942495687,0.3523809523809524,0.7872340425531915,0.00912244338542223,109,428575,10
80,AD,test,ADNetworkLong50,80,"M,F",0.6909620991253644,0.42391304347826086,0.749353076480736,0.43186495195775376,0.8040899942495687,0.2846715328467153,0.8297872340425532,0.006067734211683273,500,428575,10
769,AD,test,ADNetworkLong50,769,"M,F",0.7638483965014577,0.47058823529411764,0.764735480161012,0.4317987905146574,0.8040899942495687,0.33962264150943394,0.7659574468085106,0.007547459099441767,225,428575,10
328,AD,test,ADNetworkLong50,328,"M,F",0.6472303206997084,0.4097560975609756,0.7508625646923519,0.44998229371391507,0.8040899942495687,0.26582278481012656,0.8936170212765957,0.014731734991073608,68,428575,10
204,AD,test,ADNetworkLong50,204,"M,F",0.6618075801749271,0.42574257425742573,0.7682576193214491,0.46496115065302523,0.8040899942495687,0.27741935483870966,0.9148936170212766,0.0174560546875,66,428575,10
281,AD,test,ADNetworkLong50,281,"M,F",0.7900874635568513,0.45454545454545453,0.7262435307648074,0.38337462644632325,0.8040899942495687,0.35294117647058826,0.6382978723404256,0.008152646943926811,165,428575,10
841,AD,test,ADNetworkLong50,841,"M,F",0.7521865889212828,0.45161290322580644,0.7490296147211042,0.4148439348721589,0.8040899942495687,0.32407407407407407,0.7446808510638298,0.00880464818328619,241,428575,10
31,AD,test,ADNetworkLong50,31,"M,F",0.8163265306122449,0.5401459854014599,0.8040899942495687,0.47672359724031454,0.8040899942495687,0.4111111111111111,0.7872340425531915,0.037561435252428055,62,428575,10
