,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,AD,test,ADNetworkOpt,23,"M,F",0.8104956268221575,0.5390070921985816,0.8096607245543415,0.4824762731840456,0.7311313973548016,0.40425531914893614,0.8085106382978723,0.016059650108218193,116,239887,10
362,AD,test,ADNetworkOpt,362,"M,F",0.8192419825072886,0.5507246376811594,0.8147282921219091,0.4891398224007863,0.7311313973548016,0.4175824175824176,0.8085106382978723,0.02730008028447628,52,239887,10
191,AD,test,ADNetworkOpt,191,"M,F",0.7026239067055393,0.43333333333333335,0.7561098332374929,0.43614572688777964,0.7311313973548016,0.2932330827067669,0.8297872340425532,0.013398268260061741,171,239887,10
80,AD,test,ADNetworkOpt,80,"M,F",0.8775510204081632,0.5333333333333333,0.7232245543415756,0.4308903741039782,0.7311313973548016,0.5581395348837209,0.5106382978723404,0.013090255670249462,500,239887,10
769,AD,test,ADNetworkOpt,769,"M,F",0.8775510204081632,0.5333333333333333,0.7232245543415756,0.4308903741039782,0.7311313973548016,0.5581395348837209,0.5106382978723404,0.5429854393005371,500,239887,10
328,AD,test,ADNetworkOpt,328,"M,F",0.7346938775510204,0.48,0.8015382403680276,0.48113340130885185,0.7311313973548016,0.328125,0.8936170212765957,0.026519281789660454,80,239887,10
204,AD,test,ADNetworkOpt,204,"M,F",0.685131195335277,0.43157894736842106,0.7638729154686602,0.4512469727406767,0.7311313973548016,0.2867132867132867,0.8723404255319149,0.01905727945268154,136,239887,10
281,AD,test,ADNetworkOpt,281,"M,F",0.7551020408163265,0.475,0.7775661299597469,0.44849020652993155,0.7311313973548016,0.336283185840708,0.8085106382978723,0.016122248023748398,154,239887,10
841,AD,test,ADNetworkOpt,841,"M,F",0.8862973760932945,0.5301204819277109,0.7103939045428407,0.43901501836803625,0.7311313973548016,0.6111111111111112,0.46808510638297873,0.07669682055711746,500,239887,10
31,AD,test,ADNetworkOpt,31,"M,F",0.7521865889212828,0.4370860927152318,0.7311313973548016,0.39309960013933093,0.7311313973548016,0.3173076923076923,0.7021276595744681,0.025846336036920547,79,239887,10
