,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,test,CNNetwork,23,"M,F",0.7084548104956269,0.7340425531914894,0.727296181630547,0.33619918178674413,0.7213106295149638,0.6188340807174888,0.9019607843137255,0.4225695729255676,500,207462,7
362,CN,test,CNNetwork,362,"M,F",0.6997084548104956,0.713091922005571,0.7130374957000345,0.31935927399161235,0.7213106295149638,0.6213592233009708,0.8366013071895425,0.48798009753227234,500,207462,7
191,CN,test,CNNetwork,191,"M,F",0.7405247813411079,0.729483282674772,0.7447884416924664,0.33510676998071953,0.7213106295149638,0.6818181818181818,0.7843137254901961,0.6389608979225159,500,207462,7
80,CN,test,CNNetwork,80,"M,F",0.7113702623906706,0.7163323782234957,0.7216546267629858,0.3221264696354732,0.7213106295149638,0.6377551020408163,0.8169934640522876,0.4523454010486603,500,207462,7
769,CN,test,CNNetwork,769,"M,F",0.6938775510204082,0.731457800511509,0.7173202614379085,0.3362535490386631,0.7213106295149638,0.6008403361344538,0.934640522875817,0.25254058837890625,500,207462,7
328,CN,test,CNNetwork,328,"M,F",0.7055393586005831,0.7403598971722365,0.7284829721362229,0.34272837464283534,0.7213106295149638,0.6101694915254238,0.9411764705882353,0.27716371417045593,500,207462,7
204,CN,test,CNNetwork,204,"M,F",0.7055393586005831,0.7247956403269755,0.7214826281389749,0.3284785654359652,0.7213106295149638,0.6214953271028038,0.869281045751634,0.44667696952819824,500,207462,7
281,CN,test,CNNetwork,281,"M,F",0.7084548104956269,0.7126436781609196,0.7183866529067767,0.31938738865509575,0.7213106295149638,0.6358974358974359,0.8104575163398693,0.5813856720924377,500,207462,7
841,CN,test,CNNetwork,841,"M,F",0.717201166180758,0.739946380697051,0.7351909184726522,0.3404185050643634,0.7213106295149638,0.6272727272727273,0.9019607843137255,0.321407288312912,500,207462,7
31,CN,test,CNNetwork,31,"M,F",0.6997084548104956,0.7324675324675325,0.7213106295149639,0.33609219549888913,0.7213106295149638,0.6077586206896551,0.9215686274509803,0.35700762271881104,500,207462,7
