,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,test,CNNetworkLong75,23,"M,F",0.7084548104956269,0.7422680412371134,0.7311145510835914,0.3440266076035277,0.73328173374613,0.6127659574468085,0.9411764705882353,0.12958882749080658,500,286000,8
362,CN,test,CNNetworkLong75,362,"M,F",0.7055393586005831,0.7202216066481995,0.7195734434124528,0.3248001581585015,0.73328173374613,0.625,0.8496732026143791,0.48988771438598633,500,286000,8
191,CN,test,CNNetworkLong75,191,"M,F",0.6909620991253644,0.7282051282051282,0.7140522875816994,0.3336011921344789,0.73328173374613,0.5991561181434599,0.9281045751633987,0.24558983743190765,500,286000,8
80,CN,test,CNNetworkLong75,80,"M,F",0.7026239067055393,0.7102272727272727,0.7137598899208806,0.31731927037385904,0.73328173374613,0.628140703517588,0.8169934640522876,0.6084873676300049,500,286000,8
769,CN,test,CNNetworkLong75,769,"M,F",0.7055393586005831,0.7262872628726287,0.7221190230478156,0.32972633497843584,0.73328173374613,0.6203703703703703,0.8758169934640523,0.47616925835609436,500,286000,8
328,CN,test,CNNetworkLong75,328,"M,F",0.7142857142857143,0.7379679144385026,0.7325593395252837,0.3389993359981355,0.73328173374613,0.6244343891402715,0.9019607843137255,0.41474971175193787,500,286000,8
204,CN,test,CNNetworkLong75,204,"M,F",0.7142857142857143,0.7292817679558011,0.7287409700722395,0.33171012766008656,0.73328173374613,0.631578947368421,0.8627450980392157,0.5197803974151611,500,286000,8
281,CN,test,CNNetworkLong75,281,"M,F",0.7084548104956269,0.7109826589595376,0.717750257997936,0.31828127253862315,0.73328173374613,0.6373056994818653,0.803921568627451,0.664357602596283,500,286000,8
841,CN,test,CNNetworkLong75,841,"M,F",0.717201166180758,0.7069486404833837,0.7218266253869969,0.3174186207388252,0.73328173374613,0.6573033707865169,0.7647058823529411,0.5961629152297974,500,286000,8
31,CN,test,CNNetworkLong75,31,"M,F",0.717201166180758,0.7356948228882834,0.73328173374613,0.33677195844960145,0.73328173374613,0.6308411214953271,0.8823529411764706,0.2719842493534088,500,286000,8
