,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,test,FTDNetwork,23,"M,F",0.8600583090379009,0.4146341463414634,0.8553405572755418,0.5081609141352393,0.7719814241486068,0.27419354838709675,0.85,0.023467639461159706,500,207462,7
362,FTD,test,FTDNetwork,362,"M,F",0.9125364431486881,0.53125,0.8832043343653251,0.5642459581235092,0.7719814241486068,0.38636363636363635,0.85,0.05632706731557846,500,207462,7
191,FTD,test,FTDNetwork,191,"M,F",0.7813411078717201,0.32432432432432434,0.8369969040247679,0.49350751289526806,0.7719814241486068,0.1978021978021978,0.9,0.02975066937506199,500,207462,7
80,FTD,test,FTDNetwork,80,"M,F",0.9620991253644315,0.7111111111111111,0.8860681114551083,0.6675218658892129,0.7719814241486068,0.64,0.8,0.07736600935459137,500,207462,7
769,FTD,test,FTDNetwork,769,"M,F",0.8513119533527697,0.41379310344827586,0.8741486068111455,0.5289347722031243,0.7719814241486068,0.26865671641791045,0.9,0.018481392413377762,500,207462,7
328,FTD,test,FTDNetwork,328,"M,F",0.7580174927113703,0.3025210084033613,0.8246130030959752,0.48551550490326,0.7719814241486068,0.18181818181818182,0.9,0.04976605251431465,500,207462,7
204,FTD,test,FTDNetwork,204,"M,F",0.9008746355685131,0.5142857142857142,0.9004643962848297,0.5746064139941691,0.7719814241486068,0.36,0.9,0.03622807189822197,500,207462,7
281,FTD,test,FTDNetwork,281,"M,F",0.8862973760932945,0.4657534246575342,0.8692724458204335,0.5314414984322571,0.7719814241486068,0.32075471698113206,0.85,0.04598676785826683,500,207462,7
841,FTD,test,FTDNetwork,841,"M,F",0.8950437317784257,0.5,0.8973684210526316,0.5676833370710922,0.7719814241486068,0.34615384615384615,0.9,0.033496301621198654,500,207462,7
31,FTD,test,FTDNetwork,31,"M,F",0.6588921282798834,0.23529411764705882,0.7719814241486067,0.46227558692649995,0.7719814241486068,0.13533834586466165,0.9,0.018457885831594467,500,207462,7
