,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,test,FTDNetworkLong,23,"M,F",0.8775510204081632,0.46153846153846156,0.8880804953560371,0.5497788277872725,0.840092879256966,0.3103448275862069,0.9,0.008526744320988655,500,856811,10
362,FTD,test,FTDNetworkLong,362,"M,F",0.8629737609329446,0.43373493975903615,0.8803405572755416,0.537463556851312,0.840092879256966,0.2857142857142857,0.9,0.008691377937793732,500,856811,10
191,FTD,test,FTDNetworkLong,191,"M,F",0.8075801749271136,0.35294117647058826,0.8509287925696593,0.5043625115551448,0.840092879256966,0.21951219512195122,0.9,0.007358594797551632,500,856811,10
80,FTD,test,FTDNetworkLong,80,"M,F",0.9504373177842566,0.6666666666666666,0.9033281733746129,0.6452576883287877,0.840092879256966,0.5483870967741935,0.85,0.03502235934138298,500,856811,10
769,FTD,test,FTDNetworkLong,769,"M,F",0.8046647230320699,0.34951456310679613,0.8493808049535604,0.5030401489339281,0.840092879256966,0.21686746987951808,0.9,0.008292817510664463,500,856811,10
328,FTD,test,FTDNetworkLong,328,"M,F",0.9416909620991254,0.6296296296296297,0.8986842105263159,0.621064139941691,0.840092879256966,0.5,0.85,0.013474498875439167,500,856811,10
204,FTD,test,FTDNetworkLong,204,"M,F",0.8192419825072886,0.3673469387755102,0.8571207430340556,0.5099910293787845,0.840092879256966,0.23076923076923078,0.9,0.008707464672625065,500,856811,10
281,FTD,test,FTDNetworkLong,281,"M,F",0.8367346938775511,0.391304347826087,0.8664086687306503,0.5196064139941692,0.840092879256966,0.25,0.9,0.007453778758645058,500,856811,10
841,FTD,test,FTDNetworkLong,841,"M,F",0.8542274052478134,0.4186046511627907,0.8756965944272446,0.5309700503578054,0.840092879256966,0.2727272727272727,0.9,0.005949819460511208,500,856811,10
31,FTD,test,FTDNetworkLong,31,"M,F",0.7871720116618076,0.3302752293577982,0.840092879256966,0.49573000949978707,0.840092879256966,0.20224719101123595,0.9,0.009954772889614105,500,856811,10
