,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,test,FTDNetworkOpt,23,"M,F",0.8367346938775511,0.391304347826087,0.8664086687306503,0.5196064139941692,0.8958204334365325,0.25,0.9,0.02112763375043869,500,207175,6
362,FTD,test,FTDNetworkOpt,362,"M,F",0.8075801749271136,0.35294117647058826,0.8509287925696593,0.5043625115551448,0.8958204334365325,0.21951219512195122,0.9,0.0146884024143219,500,207175,6
191,FTD,test,FTDNetworkOpt,191,"M,F",0.9300291545189504,0.5862068965517241,0.8924922600619196,0.5947483504680067,0.8958204334365325,0.4473684210526316,0.85,0.01512201875448227,500,207175,6
80,FTD,test,FTDNetworkOpt,80,"M,F",0.9737609329446064,0.7804878048780488,0.8922600619195047,0.7284742468415938,0.8958204334365325,0.7619047619047619,0.8,0.08634237200021744,500,207175,6
769,FTD,test,FTDNetworkOpt,769,"M,F",0.8250728862973761,0.375,0.8602167182662539,0.513027466625748,0.8958204334365325,0.23684210526315788,0.9,0.009458489716053009,500,207175,6
328,FTD,test,FTDNetworkOpt,328,"M,F",0.8746355685131195,0.44155844155844154,0.8630804953560371,0.5201869469592348,0.8958204334365325,0.2982456140350877,0.85,0.022888438776135445,500,207175,6
204,FTD,test,FTDNetworkOpt,204,"M,F",0.9650145772594753,0.7272727272727273,0.8876160990712074,0.6808551992225462,0.8958204334365325,0.6666666666666666,0.8,0.03582827374339104,500,207175,6
281,FTD,test,FTDNetworkOpt,281,"M,F",0.8600583090379009,0.42857142857142855,0.8787925696594427,0.5352314139941691,0.8958204334365325,0.28125,0.9,0.01147055346518755,500,207175,6
841,FTD,test,FTDNetworkOpt,841,"M,F",0.7959183673469388,0.33962264150943394,0.8447368421052631,0.49925757678486676,0.8958204334365325,0.20930232558139536,0.9,0.009974186308681965,500,207175,6
31,FTD,test,FTDNetworkOpt,31,"M,F",0.892128279883382,0.4931506849315068,0.8958204334365324,0.5644177347488861,0.8958204334365325,0.33962264150943394,0.9,0.01402311585843563,500,207175,6
