,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,LMCI,test,LMCINetwork,23,"M,F",0.8104956268221575,0.721030042918455,0.7964818266542405,0.43838411369358177,0.7935500155327742,0.6885245901639344,0.7567567567567568,0.09745272248983383,43,207462,7
362,LMCI,test,LMCINetwork,362,"M,F",0.7696793002915452,0.7018867924528301,0.7874534016775395,0.42349087757251025,0.7935500155327742,0.6038961038961039,0.8378378378378378,0.09670919179916382,30,207462,7
191,LMCI,test,LMCINetwork,191,"M,F",0.7784256559766763,0.7099236641221374,0.7939189189189189,0.42948984549200797,0.7935500155327742,0.6158940397350994,0.8378378378378378,0.010240388102829456,66,207462,7
80,LMCI,test,LMCINetwork,80,"M,F",0.8046647230320699,0.726530612244898,0.8039181422802113,0.44144526363533376,0.7935500155327742,0.664179104477612,0.8018018018018018,0.11914671212434769,16,207462,7
769,LMCI,test,LMCINetwork,769,"M,F",0.8075801749271136,0.7226890756302521,0.7990253184218702,0.43879805289093415,0.7935500155327742,0.6771653543307087,0.7747747747747747,0.1038738414645195,37,207462,7
328,LMCI,test,LMCINetwork,328,"M,F",0.7842565597667639,0.725925925925926,0.809975924200062,0.44495281903830225,0.7935500155327742,0.6163522012578616,0.8828828828828829,0.033274974673986435,38,207462,7
204,LMCI,test,LMCINetwork,204,"M,F",0.7871720116618076,0.7137254901960784,0.7956857719788755,0.4314214907327152,0.7935500155327742,0.6319444444444444,0.8198198198198198,0.021891459822654724,38,207462,7
281,LMCI,test,LMCINetwork,281,"M,F",0.8338192419825073,0.7553648068669528,0.8231205343274308,0.4669646705444631,0.7935500155327742,0.7213114754098361,0.7927927927927928,0.08681903779506683,24,207462,7
841,LMCI,test,LMCINetwork,841,"M,F",0.7521865889212828,0.6931407942238267,0.7815703634669152,0.4198397878014303,0.7935500155327742,0.5783132530120482,0.8648648648648649,0.014081522822380066,43,207462,7
31,LMCI,test,LMCINetwork,31,"M,F",0.8192419825072886,0.7207207207207207,0.7935500155327742,0.44229506474404434,0.7935500155327742,0.7207207207207207,0.7207207207207207,0.5444373488426208,31,207462,7
