,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,LMCI,test,LMCINetworkLong,23,"M,F",0.8425655976676385,0.75,0.8131407269338304,0.4706957686549524,0.8088303821062441,0.7714285714285715,0.7297297297297297,0.652852475643158,63,857066,10
362,LMCI,test,LMCINetworkLong,362,"M,F",0.760932944606414,0.6917293233082706,0.7786385523454489,0.4152702406158627,0.8088303821062441,0.5935483870967742,0.8288288288288288,0.030072206631302834,60,857066,10
191,LMCI,test,LMCINetworkLong,191,"M,F",0.760932944606414,0.6985294117647058,0.7856865486175831,0.4226674386390447,0.8088303821062441,0.5900621118012422,0.8558558558558559,0.01694439724087715,46,857066,10
80,LMCI,test,LMCINetworkLong,80,"M,F",0.8017492711370262,0.7213114754098361,0.7994136377757067,0.437136000508718,0.8088303821062441,0.6616541353383458,0.7927927927927928,0.3164338767528534,13,857066,10
769,LMCI,test,LMCINetworkLong,769,"M,F",0.7988338192419825,0.7206477732793523,0.7996077974526251,0.4365615937494689,0.8088303821062441,0.6544117647058824,0.8018018018018018,0.10821688920259476,51,857066,10
328,LMCI,test,LMCINetworkLong,328,"M,F",0.8017492711370262,0.7322834645669292,0.8111602982292638,0.44671765079928344,0.8088303821062441,0.6503496503496503,0.8378378378378378,0.1161404624581337,28,857066,10
204,LMCI,test,LMCINetworkLong,204,"M,F",0.8104956268221575,0.7410358565737052,0.8176258154706431,0.45368568276731536,0.8088303821062441,0.6642857142857143,0.8378378378378378,0.15271605551242828,31,857066,10
281,LMCI,test,LMCINetworkLong,281,"M,F",0.7755102040816326,0.7094339622641509,0.7941130785958374,0.4297844093762461,0.8088303821062441,0.6103896103896104,0.8468468468468469,0.07225333899259567,31,857066,10
841,LMCI,test,LMCINetworkLong,841,"M,F",0.7959183673469388,0.7286821705426356,0.809199285492389,0.44431749533790355,0.8088303821062441,0.6394557823129252,0.8468468468468469,0.015363567508757114,96,857066,10
31,LMCI,test,LMCINetworkLong,31,"M,F",0.8367346938775511,0.7431192660550459,0.8088303821062443,0.4634861558378629,0.8088303821062441,0.7570093457943925,0.7297297297297297,0.64638751745224,35,857066,10
