,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,LMCI,test,LMCINetworkOpt,23,"M,F",0.8163265306122449,0.7174887892376681,0.791394843118981,0.4390775615265411,0.7917831624728177,0.7142857142857143,0.7207207207207207,0.9301071763038635,36,224812,10
362,LMCI,test,LMCINetworkOpt,362,"M,F",0.8250728862973761,0.7413793103448276,0.8119563529046289,0.4555872765520261,0.7917831624728177,0.7107438016528925,0.7747747747747747,0.8311405181884766,30,224812,10
191,LMCI,test,LMCINetworkOpt,191,"M,F",0.7667638483965015,0.7014925373134329,0.7876475613544579,0.42395266150628164,0.7917831624728177,0.5987261146496815,0.8468468468468469,0.7397962212562561,36,224812,10
80,LMCI,test,LMCINetworkOpt,80,"M,F",0.8075801749271136,0.7317073170731707,0.8084226467847158,0.4457358232868437,0.7917831624728177,0.6666666666666666,0.8108108108108109,0.3145240843296051,62,224812,10
769,LMCI,test,LMCINetworkOpt,769,"M,F",0.8192419825072886,0.743801652892562,0.8170433364398882,0.45591394033518984,0.7917831624728177,0.6870229007633588,0.8108108108108109,0.8581588864326477,26,224812,10
328,LMCI,test,LMCINetworkOpt,328,"M,F",0.7638483965014577,0.7032967032967034,0.7901910531220876,0.4269794575917025,0.7917831624728177,0.5925925925925926,0.8648648648648649,0.36923152208328247,500,224812,10
204,LMCI,test,LMCINetworkOpt,204,"M,F",0.8309037900874635,0.7456140350877193,0.8139173656415035,0.4604164604164604,0.7917831624728177,0.7264957264957265,0.7657657657657657,0.10365575551986694,500,224812,10
281,LMCI,test,LMCINetworkOpt,281,"M,F",0.8250728862973761,0.7520661157024794,0.8237030133581857,0.4627775127853022,0.7917831624728177,0.6946564885496184,0.8198198198198198,0.7633933424949646,26,224812,10
841,LMCI,test,LMCINetworkOpt,841,"M,F",0.8396501457725948,0.7465437788018433,0.8109855545200373,0.46705695463877983,0.7917831624728177,0.7641509433962265,0.7297297297297297,0.03388558328151703,72,224812,10
31,LMCI,test,LMCINetworkOpt,31,"M,F",0.8104956268221575,0.7161572052401747,0.7917831624728177,0.43548588861629334,0.7917831624728177,0.6949152542372882,0.7387387387387387,0.9050229787826538,26,224812,10
