,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,MCI,test,MCINetworkLong75,23,"M,F",0.7259475218658892,0.6713286713286714,0.7177554438860971,0.32150727494217,0.7696119486320492,0.676056338028169,0.6666666666666666,0.24874429404735565,72,286000,8
362,MCI,test,MCINetworkLong75,362,"M,F",0.6822157434402333,0.7108753315649867,0.7165340591848128,0.34758361243536856,0.7696119486320492,0.575107296137339,0.9305555555555556,0.08544614166021347,29,286000,8
191,MCI,test,MCINetworkLong75,191,"M,F",0.7463556851311953,0.7355623100303952,0.7593348687883863,0.36086853982262146,0.7696119486320492,0.654054054054054,0.8402777777777778,0.10242756456136703,33,286000,8
80,MCI,test,MCINetworkLong75,80,"M,F",0.7696793002915452,0.7084870848708487,0.7554438860971524,0.36143186183359727,0.7696119486320492,0.7559055118110236,0.6666666666666666,0.1915745586156845,39,286000,8
769,MCI,test,MCINetworkLong75,769,"M,F",0.717201166180758,0.6978193146417445,0.725572305974316,0.33209522711425166,0.7696119486320492,0.632768361581921,0.7777777777777778,0.5373615622520447,23,286000,8
328,MCI,test,MCINetworkLong75,328,"M,F",0.7084548104956269,0.7076023391812866,0.7266715522054717,0.33939706835115,0.7696119486320492,0.6111111111111112,0.8402777777777778,0.07039535045623779,49,286000,8
204,MCI,test,MCINetworkLong75,204,"M,F",0.7580174927113703,0.7348242811501597,0.7636271635957564,0.36199122153792485,0.7696119486320492,0.6804733727810651,0.7986111111111112,0.23650392889976501,50,286000,8
281,MCI,test,MCINetworkLong75,281,"M,F",0.6064139941690962,0.6746987951807228,0.6569653824678952,0.33041952504073147,0.7696119486320492,0.5166051660516605,0.9722222222222222,0.025796251371502876,45,286000,8
841,MCI,test,MCINetworkLong75,841,"M,F",0.717201166180758,0.694006309148265,0.7236529871580123,0.32960112891839916,0.7696119486320492,0.6358381502890174,0.7638888888888888,0.18266545236110687,34,286000,8
31,MCI,test,MCINetworkLong75,31,"M,F",0.7638483965014577,0.7412140575079872,0.7696119486320492,0.36696429769428196,0.7696119486320492,0.6863905325443787,0.8055555555555556,0.19503360986709595,28,286000,8
