,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,MCI,test,MCINetwork,23,"M,F",0.749271137026239,0.7295597484276729,0.7570491345616974,0.35710236475542595,0.749284617532105,0.6666666666666666,0.8055555555555556,0.02226947620511055,124,207462,7
362,MCI,test,MCINetwork,362,"M,F",0.7142857142857143,0.7100591715976331,0.7307370184254606,0.34110536703635796,0.749284617532105,0.6185567010309279,0.8333333333333334,0.020944055169820786,105,207462,7
191,MCI,test,MCINetwork,191,"M,F",0.6763848396501457,0.6890756302521008,0.7009526800670017,0.3266028997111923,0.749284617532105,0.5774647887323944,0.8541666666666666,0.04834984615445137,37,207462,7
80,MCI,test,MCINetwork,80,"M,F",0.7784256559766763,0.7266187050359713,0.7677798715801228,0.3704172589433783,0.749284617532105,0.753731343283582,0.7013888888888888,0.4084373116493225,33,207462,7
769,MCI,test,MCINetwork,769,"M,F",0.6967930029154519,0.7062146892655368,0.720459938581798,0.33951854551344346,0.749284617532105,0.5952380952380952,0.8680555555555556,0.1447567641735077,32,207462,7
328,MCI,test,MCINetwork,328,"M,F",0.6909620991253644,0.7071823204419889,0.7183137911781128,0.34152096836987306,0.749284617532105,0.5871559633027523,0.8888888888888888,0.11564110964536667,28,207462,7
204,MCI,test,MCINetwork,204,"M,F",0.7026239067055393,0.7150837988826816,0.7283640424343941,0.34700840727924454,0.749284617532105,0.5981308411214953,0.8888888888888888,0.09668917953968048,32,207462,7
281,MCI,test,MCINetwork,281,"M,F",0.717201166180758,0.7282913165266106,0.7428461753210498,0.3571362985167239,0.749284617532105,0.6103286384976526,0.9027777777777778,0.13368971645832062,17,207462,7
841,MCI,test,MCINetwork,841,"M,F",0.7317784256559767,0.7261904761904762,0.7477317141261866,0.3535643424036281,0.749284617532105,0.6354166666666666,0.8472222222222222,0.13785234093666077,25,207462,7
31,MCI,test,MCINetwork,31,"M,F",0.7346938775510204,0.7267267267267268,0.749284617532105,0.3539473329014145,0.749284617532105,0.6402116402116402,0.8402777777777778,0.1796315461397171,28,207462,7
