,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,PD,test,PDNetworkLong75,23,"M,F",0.6180758017492711,0.23391812865497075,0.6874545013346275,0.3865255082707581,0.7798471244843485,0.13793103448275862,0.7692307692307693,0.014490710571408272,43,286000,8
362,PD,test,PDNetworkLong75,362,"M,F",0.6997084548104956,0.2695035460992908,0.7139650570249939,0.38239564339830534,0.7798471244843485,0.16521739130434782,0.7307692307692307,0.09828664362430573,13,286000,8
191,PD,test,PDNetworkLong75,191,"M,F",0.6297376093294461,0.2658959537572254,0.7467240960931812,0.4491104133961277,0.7798471244843485,0.1564625850340136,0.8846153846153846,0.04316563531756401,10,286000,8
80,PD,test,PDNetworkLong75,80,"M,F",0.7317784256559767,0.28125,0.7136617325891773,0.3702491985805311,0.7798471244843485,0.17647058823529413,0.6923076923076923,0.01732616126537323,24,286000,8
769,PD,test,PDNetworkLong75,769,"M,F",0.6122448979591837,0.24,0.7019534093666586,0.40580283297034425,0.7798471244843485,0.14093959731543623,0.8076923076923077,0.024468889459967613,17,286000,8
328,PD,test,PDNetworkLong75,328,"M,F",0.6880466472303207,0.3006535947712418,0.7782698374181024,0.46143030198148305,0.7798471244843485,0.18110236220472442,0.8846153846153846,0.016304725781083107,74,286000,8
204,PD,test,PDNetworkLong75,204,"M,F",0.5860058309037901,0.25263157894736843,0.7407182722640137,0.46182289586968533,0.7798471244843485,0.14634146341463414,0.9230769230769231,0.035099223256111145,10,286000,8
281,PD,test,PDNetworkLong75,281,"M,F",0.7638483965014577,0.2831858407079646,0.6957049259888377,0.3384218408848951,0.7798471244843485,0.1839080459770115,0.6153846153846154,0.01882133260369301,34,286000,8
841,PD,test,PDNetworkLong75,841,"M,F",0.6501457725947521,0.25925925925925924,0.7224581412278575,0.41253891666556736,0.7798471244843485,0.15441176470588236,0.8076923076923077,0.018255962058901787,29,286000,8
31,PD,test,PDNetworkLong75,31,"M,F",0.6909620991253644,0.3026315789473684,0.7798471244843485,0.4621489621489621,0.7798471244843485,0.18253968253968253,0.8846153846153846,0.020998330786824226,23,286000,8
