,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,PD,test,PDNetworkLong,23,"M,F",0.6938775510204082,0.27586206896551724,0.7284639650570249,0.4015936044747569,0.6954016015530211,0.16806722689075632,0.7692307692307693,0.017802689224481583,44,856811,10
362,PD,test,PDNetworkLong,362,"M,F",0.7725947521865889,0.30357142857142855,0.718090269352099,0.3630780704819622,0.6954016015530211,0.19767441860465115,0.6538461538461539,0.3011856973171234,15,856811,10
191,PD,test,PDNetworkLong,191,"M,F",0.7842565597667639,0.28846153846153844,0.6890924532880369,0.3248486207669881,0.6954016015530211,0.19230769230769232,0.5769230769230769,0.057595957070589066,23,856811,10
80,PD,test,PDNetworkLong,80,"M,F",0.6967930029154519,0.2876712328767123,0.7476947342877942,0.4228330343126261,0.6954016015530211,0.175,0.8076923076923077,0.051178593188524246,17,856811,10
769,PD,test,PDNetworkLong,769,"M,F",0.8454810495626822,0.3614457831325301,0.722215481679204,0.360273721981563,0.6954016015530211,0.2631578947368421,0.5769230769230769,0.08238741010427475,25,856811,10
328,PD,test,PDNetworkLong,328,"M,F",0.7813411078717201,0.29906542056074764,0.705168648386314,0.34523324999515476,0.6954016015530211,0.19753086419753085,0.6153846153846154,0.2578221261501312,36,856811,10
204,PD,test,PDNetworkLong,204,"M,F",0.5131195335276968,0.22325581395348837,0.7012860956078621,0.45214422765443174,0.6954016015530211,0.12698412698412698,0.9230769230769231,0.010824976488947868,13,856811,10
281,PD,test,PDNetworkLong,281,"M,F",0.8425655976676385,0.35714285714285715,0.720638194612958,0.35800511944072816,0.6954016015530211,0.25862068965517243,0.5769230769230769,0.024369800463318825,48,856811,10
841,PD,test,PDNetworkLong,841,"M,F",0.6880466472303207,0.28187919463087246,0.7429628730890561,0.4206988879711627,0.6954016015530211,0.17073170731707318,0.8076923076923077,0.01615845039486885,51,856811,10
31,PD,test,PDNetworkLong,31,"M,F",0.7959183673469388,0.3,0.6954016015530211,0.3300461259644933,0.6954016015530211,0.20270270270270271,0.5769230769230769,0.04967660829424858,20,856811,10
