,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,PD,test,PDNetwork,23,"M,F",0.7376093294460642,0.296875,0.7344697888861929,0.3929242026480922,0.6918223732103859,0.18627450980392157,0.7307692307692307,0.04091888666152954,20,207462,7
362,PD,test,PDNetwork,362,"M,F",0.7376093294460642,0.3076923076923077,0.7521232710507159,0.41371383718322496,0.6918223732103859,0.19230769230769232,0.7692307692307693,0.04099687188863754,16,207462,7
191,PD,test,PDNetwork,191,"M,F",0.749271137026239,0.31746031746031744,0.7584324193157,0.4175599910293788,0.6918223732103859,0.2,0.7692307692307693,0.027036814019083977,21,207462,7
80,PD,test,PDNetwork,80,"M,F",0.7434402332361516,0.30158730158730157,0.7376243630186848,0.39478694774613143,0.6918223732103859,0.19,0.7307692307692307,0.0604599267244339,15,207462,7
769,PD,test,PDNetwork,769,"M,F",0.8396501457725948,0.35294117647058826,0.7190609075467119,0.3558134186809385,0.6918223732103859,0.2542372881355932,0.5769230769230769,0.15558300912380219,23,207462,7
328,PD,test,PDNetwork,328,"M,F",0.5393586005830904,0.2403846153846154,0.7331351613685999,0.4751065261269343,0.6918223732103859,0.13736263736263737,0.9615384615384616,0.015094282105565071,57,207462,7
204,PD,test,PDNetwork,204,"M,F",0.4956268221574344,0.2100456621004566,0.6741688910458626,0.43046461310710016,0.6918223732103859,0.11917098445595854,0.8846153846153846,0.040133997797966,14,207462,7
281,PD,test,PDNetwork,281,"M,F",0.749271137026239,0.3064516129032258,0.7407789371511769,0.3967257232563355,0.6918223732103859,0.19387755102040816,0.7307692307692307,0.02351108007133007,28,207462,7
841,PD,test,PDNetwork,841,"M,F",0.673469387755102,0.24324324324324326,0.6821159912642563,0.35578439626616276,0.6918223732103859,0.14754098360655737,0.6923076923076923,0.026030458509922028,21,207462,7
31,PD,test,PDNetwork,31,"M,F",0.4956268221574344,0.2171945701357466,0.6918223732103859,0.4501906257008298,0.6918223732103859,0.12307692307692308,0.9230769230769231,0.015736592933535576,26,207462,7
