,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,AD,validation,ADNetwork,23,"M,F",0.8542274052478134,0.5454545454545454,0.7688478992826818,0.44967478451007736,0.8331503440199093,0.46875,0.6521739130434783,0.02839428372681141,500,207462,7
362,AD,validation,ADNetwork,362,"M,F",0.7667638483965015,0.5121951219512195,0.8285756111843069,0.5062079574434258,0.8331503440199093,0.3559322033898305,0.9130434782608695,0.030665483325719833,30,207462,7
191,AD,validation,ADNetwork,191,"M,F",0.60932944606414,0.37962962962962965,0.7284804567413263,0.43941825177275873,0.8331503440199093,0.2411764705882353,0.8913043478260869,0.02417837828397751,500,207462,7
80,AD,validation,ADNetwork,80,"M,F",0.8571428571428571,0.5504587155963303,0.7705314009661836,0.4533950226053154,0.8331503440199093,0.47619047619047616,0.6521739130434783,0.026833154261112213,500,207462,7
769,AD,validation,ADNetwork,769,"M,F",0.7959183673469388,0.5205479452054794,0.8086663738837653,0.4805944986690328,0.8331503440199093,0.38,0.8260869565217391,0.025365959852933884,500,207462,7
328,AD,validation,ADNetwork,328,"M,F",0.7725947521865889,0.5,0.8043844239496414,0.47727906521162955,0.8331503440199093,0.35454545454545455,0.8478260869565217,0.026430560275912285,51,207462,7
204,AD,validation,ADNetwork,204,"M,F",0.8075801749271136,0.46774193548387094,0.7327258088127654,0.39178538113764383,0.8331503440199093,0.3717948717948718,0.6304347826086957,0.027481762692332268,500,207462,7
281,AD,validation,ADNetwork,281,"M,F",0.8892128279883382,0.5681818181818182,0.7431196018152539,0.46585963577977774,0.8331503440199093,0.5952380952380952,0.5434782608695652,0.059585440903902054,500,207462,7
841,AD,validation,ADNetwork,841,"M,F",0.8571428571428571,0.5663716814159292,0.7889035280339628,0.4729294331990699,0.8331503440199093,0.47761194029850745,0.6956521739130435,0.030073124915361404,500,207462,7
31,AD,validation,ADNetwork,31,"M,F",0.8542274052478134,0.5967741935483871,0.8331503440199092,0.5183621465786505,0.8331503440199093,0.47435897435897434,0.8043478260869565,0.023723827674984932,52,207462,7
