,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,AD,validation,ADNetworkOpt,23,"M,F",0.6443148688046647,0.10294117647058823,0.43595457159286954,,0.5295069005175388,0.07865168539325842,0.14893617021276595,0.016059650108218193,116,239887,10
362,AD,validation,ADNetworkOpt,362,"M,F",0.6705539358600583,0.16296296296296298,0.48695370902817714,,0.5295069005175388,0.125,0.23404255319148937,0.02730008028447628,52,239887,10
191,AD,validation,ADNetworkOpt,191,"M,F",0.60932944606414,0.25555555555555554,0.5588700402530189,0.22910620015083302,0.5295069005175388,0.17293233082706766,0.48936170212765956,0.013398268260061741,171,239887,10
80,AD,validation,ADNetworkOpt,80,"M,F",0.7755102040816326,0.18947368421052632,0.5298663024726854,0.10786202778983935,0.5295069005175388,0.1875,0.19148936170212766,0.013090255670249462,500,239887,10
769,AD,validation,ADNetworkOpt,769,"M,F",0.7725947521865889,0.1875,0.5281771132834963,0.1059487624837169,0.5295069005175388,0.1836734693877551,0.19148936170212766,0.5429854393005371,500,239887,10
328,AD,validation,ADNetworkOpt,328,"M,F",0.6180758017492711,0.2598870056497175,0.5639376078205866,0.23110157319883765,0.5295069005175388,0.17692307692307693,0.48936170212765956,0.026519281789660454,80,239887,10
204,AD,validation,ADNetworkOpt,204,"M,F",0.577259475218659,0.17142857142857143,0.46869608970672794,,0.5295069005175388,0.1171875,0.3191489361702128,0.01905727945268154,136,239887,10
281,AD,validation,ADNetworkOpt,281,"M,F",0.6297376093294461,0.1360544217687075,0.4543559516963772,,0.5295069005175388,0.1,0.2127659574468085,0.016122248023748398,154,239887,10
841,AD,validation,ADNetworkOpt,841,"M,F",0.7667638483965015,0.09090909090909091,0.48005319148936165,,0.5295069005175388,0.0975609756097561,0.0851063829787234,0.07669682055711746,500,239887,10
31,AD,validation,ADNetworkOpt,31,"M,F",0.6822157434402333,0.2158273381294964,0.5295069005175388,0.1507171984691855,0.5295069005175388,0.16304347826086957,0.3191489361702128,0.025846336036920547,79,239887,10
