,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,validation,CNNetwork,23,"M,F",0.5247813411078717,0.5630026809651475,0.5405056759545923,0.20568032407768302,0.4946680426556588,0.4772727272727273,0.6862745098039216,0.026900367811322212,48,207462,7
362,CN,validation,CNNetwork,362,"M,F",0.47230320699708456,0.5370843989769821,0.4931372549019608,,0.4946680426556588,0.4411764705882353,0.6862745098039216,0.035856347531080246,34,207462,7
191,CN,validation,CNNetwork,191,"M,F",0.5160349854227405,0.5229885057471264,0.5237014103887169,0.17503382305303075,0.4946680426556588,0.4666666666666667,0.5947712418300654,0.13734160363674164,25,207462,7
80,CN,validation,CNNetwork,80,"M,F",0.5510204081632653,0.5674157303370787,0.5616443068455452,0.2085714417129742,0.4946680426556588,0.4975369458128079,0.6601307189542484,0.12026824057102203,26,207462,7
769,CN,validation,CNNetwork,769,"M,F",0.5393586005830904,0.5536723163841808,0.5492088063295494,0.19815331960787158,0.4946680426556588,0.48756218905472637,0.6405228758169934,0.23863855004310608,53,207462,7
328,CN,validation,CNNetwork,328,"M,F",0.5043731778425656,0.5086705202312138,0.511265909872721,0.1642490206050345,0.4946680426556588,0.45595854922279794,0.5751633986928104,0.41142505407333374,40,207462,7
204,CN,validation,CNNetwork,204,"M,F",0.5189504373177842,0.5045045045045045,0.5218782249742002,0.16236208769221974,0.4946680426556588,0.4666666666666667,0.5490196078431373,0.31181320548057556,91,207462,7
281,CN,validation,CNNetwork,281,"M,F",0.446064139941691,0.483695652173913,0.45927072583419337,,0.4946680426556588,0.413953488372093,0.5816993464052288,0.3936561942100525,33,207462,7
841,CN,validation,CNNetwork,841,"M,F",0.46938775510204084,0.542713567839196,0.49241486068111456,,0.4946680426556588,0.44081632653061226,0.7058823529411765,0.04086470976471901,29,207462,7
31,CN,validation,CNNetwork,31,"M,F",0.48104956268221577,0.5163043478260869,0.4946680426556588,,0.4946680426556588,0.4418604651162791,0.6209150326797386,0.03886575251817703,110,207462,7
