,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,validation,CNNetworkLong50,23,"M,F",0.5160349854227405,0.5029940119760479,0.5192466460268318,0.16107295325391405,0.4748882008943928,0.46408839779005523,0.5490196078431373,0.8180661201477051,63,428575,10
362,CN,validation,CNNetworkLong50,362,"M,F",0.4606413994169096,0.5092838196286472,0.47688338493292054,,0.4748882008943928,0.42857142857142855,0.6274509803921569,0.5556173920631409,33,428575,10
191,CN,validation,CNNetworkLong50,191,"M,F",0.5335276967930029,0.5375722543352601,0.5407636738906089,0.1862536280241186,0.4748882008943928,0.48186528497409326,0.6078431372549019,0.47375717759132385,25,428575,10
80,CN,validation,CNNetworkLong50,80,"M,F",0.5393586005830904,0.5511363636363636,0.5485724114207087,0.1962805701366452,0.4748882008943928,0.48743718592964824,0.6339869281045751,0.7176204919815063,21,428575,10
769,CN,validation,CNNetworkLong50,769,"M,F",0.5422740524781341,0.5368731563421829,0.5473856209150327,0.18632414563367589,0.4748882008943928,0.489247311827957,0.5947712418300654,0.22030994296073914,55,428575,10
328,CN,validation,CNNetworkLong50,328,"M,F",0.5102040816326531,0.52,0.5184382524939801,0.17266495672477356,0.4748882008943928,0.4619289340101523,0.5947712418300654,0.3826339542865753,45,428575,10
204,CN,validation,CNNetworkLong50,204,"M,F",0.4752186588921283,0.5384615384615384,0.4957688338493292,,0.4748882008943928,0.4430379746835443,0.6862745098039216,0.2294883280992508,17,428575,10
281,CN,validation,CNNetworkLong50,281,"M,F",0.4577259475218659,0.5255102040816326,0.47870657034743724,,0.4748882008943928,0.4309623430962343,0.673202614379085,0.24202053248882294,28,428575,10
841,CN,validation,CNNetworkLong50,841,"M,F",0.5043731778425656,0.5086705202312138,0.511265909872721,0.1642490206050345,0.4748882008943928,0.45595854922279794,0.5751633986928104,0.7968223690986633,24,428575,10
31,CN,validation,CNNetworkLong50,31,"M,F",0.4577259475218659,0.5105263157894737,0.47488820089439276,,0.4748882008943928,0.42731277533039647,0.6339869281045751,0.06798087805509567,45,428575,10
