,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,validation,CNNetworkLong,23,"M,F",0.7084548104956269,0.7297297297297297,0.724025974025974,0.32952888947786907,0.7202982202982202,0.625,0.8766233766233766,0.42581671476364136,500,856811,10
362,CN,validation,CNNetworkLong,362,"M,F",0.6763848396501457,0.7055702917771883,0.6937229437229437,0.31165711290631215,0.7202982202982202,0.5964125560538116,0.8636363636363636,0.43963348865509033,500,856811,10
191,CN,validation,CNNetworkLong,191,"M,F",0.7521865889212828,0.746268656716418,0.7576960076960078,0.3444424838888702,0.7202982202982202,0.6906077348066298,0.8116883116883117,0.6318528652191162,500,856811,10
80,CN,validation,CNNetworkLong,80,"M,F",0.7900874635568513,0.7954545454545454,0.8011063011063011,0.3795093795093795,0.7202982202982202,0.7070707070707071,0.9090909090909091,0.5939960479736328,500,856811,10
769,CN,validation,CNNetworkLong,769,"M,F",0.7055393586005831,0.7455919395465995,0.7291967291967292,0.34481299333907045,0.7202982202982202,0.6090534979423868,0.961038961038961,0.19064116477966309,500,856811,10
328,CN,validation,CNNetworkLong,328,"M,F",0.749271137026239,0.7514450867052023,0.7580567580567581,0.34662541964837884,0.7202982202982202,0.6770833333333334,0.8441558441558441,0.5315153002738953,500,856811,10
204,CN,validation,CNNetworkLong,204,"M,F",0.7113702623906706,0.7441860465116279,0.732082732082732,0.3421430107074322,0.7202982202982202,0.6180257510729614,0.935064935064935,0.23067831993103027,500,856811,10
281,CN,validation,CNNetworkLong,281,"M,F",0.7259475218658892,0.7314285714285714,0.7356902356902357,0.3310363106281473,0.7202982202982202,0.6530612244897959,0.8311688311688312,0.5782023072242737,500,856811,10
841,CN,validation,CNNetworkLong,841,"M,F",0.7755102040816326,0.7768115942028986,0.7842712842712842,0.3660252024927738,0.7202982202982202,0.7015706806282722,0.8701298701298701,0.6130475401878357,500,856811,10
31,CN,validation,CNNetworkLong,31,"M,F",0.6997084548104956,0.7338501291989664,0.7202982202982203,0.3342731106154072,0.7202982202982202,0.6094420600858369,0.922077922077922,0.2225320190191269,500,856811,10
