,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,validation,CNNetworkOpt,23,"M,F",0.4868804664723032,0.5621890547263682,0.5113863089095287,0.208433574232906,0.476797385620915,0.4538152610441767,0.738562091503268,0.009845336899161339,76,286287,9
362,CN,validation,CNNetworkOpt,362,"M,F",0.478134110787172,0.5468354430379747,0.5003095975232199,0.19561520003514984,0.476797385620915,0.4462809917355372,0.7058823529411765,0.33715733885765076,500,286287,9
191,CN,validation,CNNetworkOpt,191,"M,F",0.49271137026239065,0.5297297297297298,0.5071035431716546,0.18017867669341156,0.476797385620915,0.45161290322580644,0.6405228758169934,0.4512547254562378,35,286287,9
80,CN,validation,CNNetworkOpt,80,"M,F",0.5160349854227405,0.5561497326203209,0.5319745442036463,0.20052783017969092,0.476797385620915,0.47058823529411764,0.6797385620915033,0.11054576188325882,44,286287,9
769,CN,validation,CNNetworkOpt,769,"M,F",0.5189504373177842,0.5132743362831859,0.5237874097007225,0.1683304658268837,0.476797385620915,0.46774193548387094,0.5686274509803921,0.5098550319671631,53,286287,9
328,CN,validation,CNNetworkOpt,328,"M,F",0.4868804664723032,0.5028248587570622,0.49611283109735127,,0.476797385620915,0.4427860696517413,0.5816993464052288,0.8576493263244629,374,286287,9
204,CN,validation,CNNetworkOpt,204,"M,F",0.5276967930029155,0.5235294117647059,0.5329549363605092,0.1760479083408255,0.476797385620915,0.47593582887700536,0.5816993464052288,0.7324978709220886,29,286287,9
281,CN,validation,CNNetworkOpt,281,"M,F",0.45481049562682213,0.5359801488833746,0.4792569659442725,,0.476797385620915,0.432,0.7058823529411765,0.14003446698188782,149,286287,9
841,CN,validation,CNNetworkOpt,841,"M,F",0.5160349854227405,0.5,0.518610251117991,0.15906208186919352,0.476797385620915,0.46368715083798884,0.5424836601307189,0.811129093170166,31,286287,9
31,CN,validation,CNNetworkOpt,31,"M,F",0.4577259475218659,0.5181347150259067,0.47679738562091506,,0.476797385620915,0.4291845493562232,0.6535947712418301,0.209617018699646,57,286287,9
