,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,validation,EMCINetwork,23,"M,F",0.7638483965014577,0.7378640776699029,0.7686013986013985,0.3673393240641826,0.7545979020979021,0.6867469879518072,0.7972027972027972,0.12231097370386124,500,207462,7
362,EMCI,validation,EMCINetwork,362,"M,F",0.7463556851311953,0.7272727272727273,0.7555944055944056,0.35758883973169686,0.7545979020979021,0.6590909090909091,0.8111888111888111,0.12984193861484528,500,207462,7
191,EMCI,validation,EMCINetwork,191,"M,F",0.7842565597667639,0.7701863354037267,0.7960664335664336,0.3907223206618943,0.7545979020979021,0.6927374301675978,0.8671328671328671,0.15652859210968018,500,207462,7
80,EMCI,validation,EMCINetwork,80,"M,F",0.7988338192419825,0.7676767676767676,0.7986013986013986,0.39409570021814916,0.7545979020979021,0.7402597402597403,0.7972027972027972,0.2842233180999756,500,207462,7
769,EMCI,validation,EMCINetwork,769,"M,F",0.7638483965014577,0.7395498392282959,0.769597902097902,0.3682665123991654,0.7545979020979021,0.6845238095238095,0.8041958041958042,0.12820595502853394,500,207462,7
328,EMCI,validation,EMCINetwork,328,"M,F",0.749271137026239,0.7455621301775148,0.7680594405594406,0.3715080837529817,0.7545979020979021,0.6461538461538462,0.8811188811188811,0.07440371811389923,500,207462,7
204,EMCI,validation,EMCINetwork,204,"M,F",0.7580174927113703,0.7381703470031545,0.7665909090909092,0.3662890592869481,0.7545979020979021,0.6724137931034483,0.8181818181818182,0.12549981474876404,28,207462,7
281,EMCI,validation,EMCINetwork,281,"M,F",0.7346938775510204,0.736231884057971,0.756555944055944,0.3648263738686046,0.7545979020979021,0.6287128712871287,0.8881118881118881,0.1001150906085968,101,207462,7
841,EMCI,validation,EMCINetwork,841,"M,F",0.7725947521865889,0.75,0.7790909090909091,0.3762360088890701,0.7545979020979021,0.6923076923076923,0.8181818181818182,0.18816712498664856,24,207462,7
31,EMCI,validation,EMCINetwork,31,"M,F",0.7463556851311953,0.7255520504731862,0.7545979020979021,0.3564643777522032,0.7545979020979021,0.6609195402298851,0.8041958041958042,0.096163310110569,119,207462,7
