,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,validation,FTDNetworkLong50,23,"M,F",0.7959183673469388,0.33962264150943394,0.8447368421052631,0.49925757678486676,0.8155572755417957,0.20930232558139536,0.9,0.0106545714661479,500,428575,10
362,FTD,validation,FTDNetworkLong50,362,"M,F",0.8862973760932945,0.43478260869565216,0.8223684210526316,0.4770408163265306,0.8155572755417957,0.30612244897959184,0.75,0.011676358059048653,500,428575,10
191,FTD,validation,FTDNetworkLong50,191,"M,F",0.8075801749271136,0.32653061224489793,0.8040247678018576,0.4500859684533154,0.8155572755417957,0.20512820512820512,0.8,0.006458036135882139,500,428575,10
80,FTD,validation,FTDNetworkLong50,80,"M,F",0.8833819241982507,0.42857142857142855,0.8208204334365325,0.47397959183673466,0.8155572755417957,0.3,0.75,0.01977008767426014,500,428575,10
769,FTD,validation,FTDNetworkLong50,769,"M,F",0.8396501457725948,0.35294117647058826,0.7976006191950464,0.43936420722135006,0.8155572755417957,0.23076923076923078,0.75,0.013749140314757824,500,428575,10
328,FTD,validation,FTDNetworkLong50,328,"M,F",0.8396501457725948,0.35294117647058826,0.7976006191950464,0.43936420722135006,0.8155572755417957,0.23076923076923078,0.75,0.014129241928458214,500,428575,10
204,FTD,validation,FTDNetworkLong50,204,"M,F",0.7784256559766763,0.3090909090909091,0.8119969040247679,0.4655085843861354,0.8155572755417957,0.18888888888888888,0.85,0.01324823684990406,500,428575,10
281,FTD,validation,FTDNetworkLong50,281,"M,F",0.924198250728863,0.5357142857142857,0.8424922600619195,0.532312925170068,0.8155572755417957,0.4166666666666667,0.75,0.01402713730931282,500,428575,10
841,FTD,validation,FTDNetworkLong50,841,"M,F",0.8775510204081632,0.46153846153846156,0.8880804953560371,0.5497788277872725,0.8155572755417957,0.3103448275862069,0.9,0.017701715230941772,500,428575,10
31,FTD,validation,FTDNetworkLong50,31,"M,F",0.6967930029154519,0.2676056338028169,0.8155572755417957,0.4960175405056636,0.8155572755417957,0.1557377049180328,0.95,0.010387676768004894,500,428575,10
