,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,validation,FTDNetworkOpt,23,"M,F",0.760932944606414,0.1276595744680851,0.5447368421052632,0.15263966590497202,0.5071207430340557,0.08108108108108109,0.3,0.02112763375043869,500,207175,6
362,FTD,validation,FTDNetworkOpt,362,"M,F",0.7288629737609329,0.1308411214953271,0.5511609907120743,0.17587128447438088,0.5071207430340557,0.08045977011494253,0.35,0.0146884024143219,500,207175,6
191,FTD,validation,FTDNetworkOpt,191,"M,F",0.8483965014577259,0.10344827586206896,0.5208204334365324,0.08094598741752339,0.5071207430340557,0.07894736842105263,0.15,0.01512201875448227,500,207175,6
80,FTD,validation,FTDNetworkOpt,80,"M,F",0.8833819241982507,0.047619047619047616,0.49249226006191954,,0.5071207430340557,0.045454545454545456,0.05,0.08634237200021744,500,207175,6
769,FTD,validation,FTDNetworkOpt,769,"M,F",0.749271137026239,0.0851063829787234,0.49164086687306496,,0.5071207430340557,0.05405405405405406,0.2,0.009458489716053009,500,207175,6
328,FTD,validation,FTDNetworkOpt,328,"M,F",0.760932944606414,0.08888888888888889,0.49783281733746126,,0.5071207430340557,0.05714285714285714,0.2,0.022888438776135445,500,207175,6
204,FTD,validation,FTDNetworkOpt,204,"M,F",0.8600583090379009,0.07692307692307693,0.5035603715170279,0.04918002915451895,0.5071207430340557,0.0625,0.1,0.03582827374339104,500,207175,6
281,FTD,validation,FTDNetworkOpt,281,"M,F",0.7667638483965015,0.06976744186046512,0.47747678018575845,,0.5071207430340557,0.045454545454545456,0.15,0.01147055346518755,500,207175,6
841,FTD,validation,FTDNetworkOpt,841,"M,F",0.7113702623906706,0.12389380530973451,0.5418730650154799,0.17327580801906015,0.5071207430340557,0.07526881720430108,0.35,0.009974186308681965,500,207175,6
31,FTD,validation,FTDNetworkOpt,31,"M,F",0.7784256559766763,0.09523809523809523,0.5071207430340557,0.09626457725947522,0.5071207430340557,0.0625,0.2,0.01402311585843563,500,207175,6
