,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,LMCI,validation,LMCINetworkLong,23,"M,F",0.8658892128279884,0.7889908256880734,0.8436987904799063,0.5033429533429533,0.8012875536480687,0.7962962962962963,0.7818181818181819,0.6339768767356873,500,857066,10
362,LMCI,validation,LMCINetworkLong,362,"M,F",0.8279883381924198,0.7531380753138075,0.8253999219664456,0.46638292888886157,0.8012875536480687,0.6976744186046512,0.8181818181818182,0.33112722635269165,500,857066,10
191,LMCI,validation,LMCINetworkLong,191,"M,F",0.8250728862973761,0.7580645161290323,0.8328521264143581,0.47047634412319417,0.8012875536480687,0.6811594202898551,0.8545454545454545,0.15976056456565857,500,857066,10
80,LMCI,validation,LMCINetworkLong,80,"M,F",0.8163265306122449,0.749003984063745,0.8264143581740149,0.46322996731159993,0.8012875536480687,0.6666666666666666,0.8545454545454545,0.29285934567451477,17,857066,10
769,LMCI,validation,LMCINetworkLong,769,"M,F",0.8600583090379009,0.7876106194690266,0.8466055403823644,0.49807868064377564,0.8012875536480687,0.7672413793103449,0.8090909090909091,0.5280444025993347,500,857066,10
328,LMCI,validation,LMCINetworkLong,328,"M,F",0.8279883381924198,0.7531380753138075,0.8253999219664456,0.46638292888886157,0.8012875536480687,0.6976744186046512,0.8181818181818182,0.32278597354888916,500,857066,10
204,LMCI,validation,LMCINetworkLong,204,"M,F",0.8338192419825073,0.7553648068669528,0.8248927038626609,0.4690938396264429,0.8012875536480687,0.7154471544715447,0.8,0.4085334241390228,500,857066,10
281,LMCI,validation,LMCINetworkLong,281,"M,F",0.8221574344023324,0.7489711934156379,0.8235076082715568,0.46273871134236333,0.8012875536480687,0.6842105263157895,0.8272727272727273,0.2592734694480896,500,857066,10
841,LMCI,validation,LMCINetworkLong,841,"M,F",0.8104956268221575,0.7280334728033473,0.8053257900897387,0.44549183611831933,0.8012875536480687,0.6744186046511628,0.7909090909090909,0.35554590821266174,500,857066,10
31,LMCI,validation,LMCINetworkLong,31,"M,F",0.8017492711370262,0.7213114754098361,0.8012875536480687,0.43972847134589443,0.8012875536480687,0.6567164179104478,0.8,0.33115124702453613,500,857066,10
