,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,LMCI,validation,LMCINetworkOpt,23,"M,F",0.5422740524781341,0.3022222222222222,0.48073936004970486,,0.5146202236719478,0.2982456140350877,0.3063063063063063,0.9301071763038635,36,224812,10
362,LMCI,validation,LMCINetworkOpt,362,"M,F",0.5568513119533528,0.3391304347826087,0.5032618825722274,0.12088232976588321,0.5146202236719478,0.3277310924369748,0.35135135135135137,0.8311405181884766,30,224812,10
191,LMCI,validation,LMCINetworkOpt,191,"M,F",0.5451895043731778,0.41353383458646614,0.5322305063684374,0.1831845952978277,0.5146202236719478,0.3548387096774194,0.4954954954954955,0.7397962212562561,36,224812,10
80,LMCI,validation,LMCINetworkOpt,80,"M,F",0.5247813411078717,0.3557312252964427,0.49365097856477164,,0.5146202236719478,0.31690140845070425,0.40540540540540543,0.3145240843296051,62,224812,10
769,LMCI,validation,LMCINetworkOpt,769,"M,F",0.5626822157434402,0.358974358974359,0.5146202236719478,0.1368888265354169,0.5146202236719478,0.34146341463414637,0.3783783783783784,0.8581588864326477,26,224812,10
328,LMCI,validation,LMCINetworkOpt,328,"M,F",0.4752186588921283,0.34782608695652173,0.46406104380242313,,0.5146202236719478,0.2909090909090909,0.43243243243243246,0.36923152208328247,500,224812,10
204,LMCI,validation,LMCINetworkOpt,204,"M,F",0.5393586005830904,0.3008849557522124,0.4785841876359118,,0.5146202236719478,0.2956521739130435,0.3063063063063063,0.10365575551986694,500,224812,10
281,LMCI,validation,LMCINetworkOpt,281,"M,F",0.5364431486880467,0.31759656652360513,0.4834770114942528,,0.5146202236719478,0.30327868852459017,0.3333333333333333,0.7633933424949646,26,224812,10
841,LMCI,validation,LMCINetworkOpt,841,"M,F",0.5714285714285714,0.3225806451612903,0.5046404162783473,0.10992400894210673,0.5146202236719478,0.330188679245283,0.3153153153153153,0.03388558328151703,72,224812,10
31,LMCI,validation,LMCINetworkOpt,31,"M,F",0.5626822157434402,0.358974358974359,0.5146202236719478,0.1368888265354169,0.5146202236719478,0.34146341463414637,0.3783783783783784,0.9050229787826538,26,224812,10
