,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,MCI,validation,MCINetworkLong,23,"M,F",0.4839650145772595,0.3875432525951557,0.4708263539921831,,0.47604341150195423,0.38620689655172413,0.3888888888888889,0.7450810670852661,41,861836,10
362,MCI,validation,MCINetworkLong,362,"M,F",0.4897959183673469,0.4956772334293948,0.5046412618648799,0.1751568032796041,0.47604341150195423,0.4236453201970443,0.5972222222222222,0.1534835547208786,28,861836,10
191,MCI,validation,MCINetworkLong,191,"M,F",0.49854227405247814,0.48502994011976047,0.5073806532663316,0.16641955654442225,0.47604341150195423,0.4263157894736842,0.5625,0.026425788179039955,63,861836,10
80,MCI,validation,MCINetworkLong,80,"M,F",0.5539358600583091,0.4882943143812709,0.5474420714684534,0.17262956257771922,0.47604341150195423,0.47096774193548385,0.5069444444444444,0.4941367506980896,27,861836,10
769,MCI,validation,MCINetworkLong,769,"M,F",0.5160349854227405,0.44666666666666666,0.5090207984366275,0.1398023037053649,0.47604341150195423,0.42948717948717946,0.4652777777777778,0.4449985921382904,33,861836,10
328,MCI,validation,MCINetworkLong,328,"M,F",0.4839650145772595,0.4809384164222874,0.4957774986041318,,0.47604341150195423,0.41624365482233505,0.5694444444444444,0.1455756276845932,28,861836,10
204,MCI,validation,MCINetworkLong,204,"M,F",0.48104956268221577,0.4573170731707317,0.4865473199329984,,0.47604341150195423,0.4076086956521739,0.5208333333333334,0.10839740186929703,38,861836,10
281,MCI,validation,MCINetworkLong,281,"M,F",0.4227405247813411,0.42441860465116277,0.43437674483528754,,0.47604341150195423,0.365,0.5069444444444444,0.04736059904098511,51,861836,10
841,MCI,validation,MCINetworkLong,841,"M,F",0.5481049562682215,0.4918032786885246,0.5443362646566164,0.17409393881776314,0.47604341150195423,0.4658385093167702,0.5208333333333334,0.11977510899305344,31,861836,10
31,MCI,validation,MCINetworkLong,31,"M,F",0.4577259475218659,0.47752808988764045,0.4760434115019542,,0.47604341150195423,0.4009433962264151,0.5902777777777778,0.1497509479522705,27,861836,10
