,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,MCI,validation,MCINetwork,23,"M,F",0.7959183673469388,0.7535211267605634,0.7891258741258741,0.38912701135888283,0.7725874125874126,0.7588652482269503,0.7482517482517482,0.5503543615341187,500,207462,7
362,MCI,validation,MCINetwork,362,"M,F",0.7259475218658892,0.7283236994219653,0.7480594405594406,0.35877598826226553,0.7725874125874126,0.6206896551724138,0.8811188811188811,0.06329939514398575,500,207462,7
191,MCI,validation,MCINetwork,191,"M,F",0.8075801749271136,0.7814569536423841,0.8100874125874127,0.40319012267414267,0.7725874125874126,0.7421383647798742,0.8251748251748252,0.1126035749912262,500,207462,7
80,MCI,validation,MCINetwork,80,"M,F",0.7725947521865889,0.7636363636363637,0.7880594405594407,0.3853295563979838,0.7725874125874126,0.6737967914438503,0.8811188811188811,0.04882735386490822,500,207462,7
769,MCI,validation,MCINetwork,769,"M,F",0.7288629737609329,0.7256637168141593,0.74756993006993,0.3560903382331953,0.7725874125874126,0.6275510204081632,0.8601398601398601,0.05276552215218544,500,207462,7
328,MCI,validation,MCINetwork,328,"M,F",0.7317784256559767,0.727810650887574,0.75006993006993,0.35769944341372906,0.7725874125874126,0.6307692307692307,0.8601398601398601,0.08584806323051453,29,207462,7
204,MCI,validation,MCINetwork,204,"M,F",0.749271137026239,0.73125,0.759090909090909,0.36059063731149515,0.7725874125874126,0.6610169491525424,0.8181818181818182,0.1209041178226471,27,207462,7
281,MCI,validation,MCINetwork,281,"M,F",0.749271137026239,0.7470588235294118,0.769055944055944,0.37280496360575094,0.7725874125874126,0.6446700507614214,0.8881118881118881,0.13248567283153534,17,207462,7
841,MCI,validation,MCINetwork,841,"M,F",0.7667638483965015,0.7452229299363057,0.7740909090909092,0.3721874258931187,0.7725874125874126,0.6842105263157895,0.8181818181818182,0.1475686877965927,20,207462,7
31,MCI,validation,MCINetwork,31,"M,F",0.7638483965014577,0.7444794952681388,0.7725874125874126,0.37120140005432045,0.7725874125874126,0.6781609195402298,0.8251748251748252,0.2512441873550415,20,207462,7
