,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,MCI,validation,MCINetworkOpt,23,"M,F",0.5072886297376094,0.48,0.5120393634840871,0.1626877862431476,0.5127721943048577,0.430939226519337,0.5416666666666666,0.03691839799284935,55,212200,6
362,MCI,validation,MCINetworkOpt,362,"M,F",0.46938775510204084,0.47398843930635837,0.48321468453378,,0.5127721943048577,0.40594059405940597,0.5694444444444444,0.06358611583709717,28,212200,6
191,MCI,validation,MCINetworkOpt,191,"M,F",0.5043731778425656,0.4551282051282051,0.5028091848129537,0.1444262228701004,0.5127721943048577,0.4226190476190476,0.4930555555555556,0.3769700825214386,21,212200,6
80,MCI,validation,MCINetworkOpt,80,"M,F",0.49854227405247814,0.4880952380952381,0.5083403126744835,0.1688178247489472,0.5127721943048577,0.4270833333333333,0.5694444444444444,0.2239188253879547,16,212200,6
769,MCI,validation,MCINetworkOpt,769,"M,F",0.46647230320699706,0.5067385444743935,0.4922180346175321,,0.5127721943048577,0.41409691629955947,0.6527777777777778,0.06412139534950256,27,212200,6
328,MCI,validation,MCINetworkOpt,328,"M,F",0.5043731778425656,0.4370860927152318,0.49801088777219427,,0.5127721943048577,0.4177215189873418,0.4583333333333333,0.1891447752714157,31,212200,6
204,MCI,validation,MCINetworkOpt,204,"M,F",0.4606413994169096,0.48179271708683474,0.4795156337241765,,0.5127721943048577,0.40375586854460094,0.5972222222222222,0.05786798521876335,20,212200,6
281,MCI,validation,MCINetworkOpt,281,"M,F",0.43731778425655976,0.45938375350140054,0.45557649357900615,,0.5127721943048577,0.38497652582159625,0.5694444444444444,0.22772538661956787,10,212200,6
841,MCI,validation,MCINetworkOpt,841,"M,F",0.5276967930029155,0.4774193548387097,0.5257886655499721,0.1620517541497379,0.5127721943048577,0.4457831325301205,0.5138888888888888,0.19047817587852478,17,212200,6
31,MCI,validation,MCINetworkOpt,31,"M,F",0.5014577259475219,0.49557522123893805,0.5127721943048577,0.17468976601629663,0.5127721943048577,0.4307692307692308,0.5833333333333334,0.08489184081554413,20,212200,6
