,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,PD,validation,PDNetworkLong,23,"M,F",0.7230320699708455,0.30656934306569344,0.7618903178840087,0.42992762890722075,0.813637466634312,0.1891891891891892,0.8076923076923077,0.017140120267868042,39,856811,10
362,PD,validation,PDNetworkLong,362,"M,F",0.6967930029154519,0.2972972972972973,0.7653482164523173,0.44327001202210303,0.813637466634312,0.18032786885245902,0.8461538461538461,0.022495843470096588,22,856811,10
191,PD,validation,PDNetworkLong,191,"M,F",0.6559766763848397,0.2976190476190476,0.7962266440184422,0.4944533764597001,0.813637466634312,0.176056338028169,0.9615384615384616,0.02461375668644905,20,856811,10
80,PD,validation,PDNetworkLong,80,"M,F",0.8250728862973761,0.4117647058823529,0.8170953652026207,0.4734909290494682,0.813637466634312,0.27631578947368424,0.8076923076923077,0.017191195860505104,39,856811,10
769,PD,validation,PDNetworkLong,769,"M,F",0.8279883381924198,0.42718446601941745,0.8363261344333899,0.49596322045301633,0.813637466634312,0.2857142857142857,0.8461538461538461,0.11224216967821121,18,856811,10
328,PD,validation,PDNetworkLong,328,"M,F",0.10495626822157435,0.1400560224089636,0.4981193884979374,,0.813637466634312,0.0755287009063444,0.9615384615384616,0.01496764924377203,500,856811,10
204,PD,validation,PDNetworkLong,204,"M,F",0.673469387755102,0.2911392405063291,0.7703834020868721,0.45800033300033294,0.813637466634312,0.17424242424242425,0.8846153846153846,0.01688389666378498,20,856811,10
281,PD,validation,PDNetworkLong,281,"M,F",0.9067055393586005,0.4838709677419355,0.7553385100703712,0.43702810794647523,0.813637466634312,0.4166666666666667,0.5769230769230769,0.02245226502418518,500,856811,10
841,PD,validation,PDNetworkLong,841,"M,F",0.7055393586005831,0.30344827586206896,0.7700800776510557,0.4455430523857895,0.813637466634312,0.18487394957983194,0.8461538461538461,0.01233698334544897,37,856811,10
31,PD,validation,PDNetworkLong,31,"M,F",0.8513119533527697,0.43956043956043955,0.813637466634312,0.4714061448755327,0.813637466634312,0.3076923076923077,0.7692307692307693,0.02804475463926792,24,856811,10
