,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,PD,validation,PDNetwork,23,"M,F",0.07580174927113703,0.1362397820163488,0.48234651783547683,,0.8240111623392381,0.07331378299120235,0.9615384615384616,0.01715768128633499,500,207462,7
362,PD,validation,PDNetwork,362,"M,F",0.8309037900874635,0.4423076923076923,0.855556903664159,0.5183150183150182,0.8240111623392381,0.2948717948717949,0.8846153846153846,0.02654111012816429,24,207462,7
191,PD,validation,PDNetwork,191,"M,F",0.749271137026239,0.3582089552238806,0.8290463479737927,0.49976327527347936,0.8240111623392381,0.2222222222222222,0.9230769230769231,0.04218653589487076,16,207462,7
80,PD,validation,PDNetwork,80,"M,F",0.8833819241982507,0.47368421052631576,0.7956806600339723,0.46201390446288404,0.8240111623392381,0.36,0.6923076923076923,0.027148151770234108,43,207462,7
769,PD,validation,PDNetwork,769,"M,F",0.7201166180758017,0.3424657534246575,0.8309269594758554,0.5105918741122822,0.8240111623392381,0.20833333333333334,0.9615384615384616,0.02958681434392929,18,207462,7
328,PD,validation,PDNetwork,328,"M,F",0.6763848396501457,0.2838709677419355,0.754307206988595,0.4383773954253309,0.8240111623392381,0.17054263565891473,0.8461538461538461,0.019435962662100792,500,207462,7
204,PD,validation,PDNetwork,204,"M,F",0.7551020408163265,0.34375,0.7968939577772385,0.46094921485077545,0.8240111623392381,0.21568627450980393,0.8461538461538461,0.03343738988041878,17,207462,7
281,PD,validation,PDNetwork,281,"M,F",0.10787172011661808,0.1404494382022472,0.49969667556418346,,0.8240111623392381,0.07575757575757576,0.9615384615384616,0.021091097965836525,41,207462,7
841,PD,validation,PDNetwork,841,"M,F",0.8338192419825073,0.42424242424242425,0.821827226401359,0.47916865075098225,0.8240111623392381,0.2876712328767123,0.8076923076923077,0.03469885513186455,17,207462,7
31,PD,validation,PDNetwork,31,"M,F",0.7725947521865889,0.3709677419354839,0.8240111623392381,0.48822605965463106,0.8240111623392381,0.23469387755102042,0.8846153846153846,0.022785359993577003,25,207462,7
