,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,AD,test,ADNetwork,23,"M,F",0.29737609329446063,0.2445141065830721,0.5213125359401956,0.3612203620049844,0.7407633697527314,0.14338235294117646,0.8297872340425532,0.017199989408254623,50,207462,7
362,AD,test,ADNetwork,362,"M,F",0.8513119533527697,0.5142857142857142,0.7348691776883267,0.4121209431262286,0.7407633697527314,0.46551724137931033,0.574468085106383,0.028981341049075127,39,207462,7
191,AD,test,ADNetwork,191,"M,F",0.18950437317784258,0.23626373626373626,0.49460897067280046,,0.7407633697527314,0.13564668769716087,0.9148936170212766,0.01647443138062954,50,207462,7
80,AD,test,ADNetwork,80,"M,F",0.282798833819242,0.24539877300613497,0.5218156986774007,0.37039434527283477,0.7407633697527314,0.14336917562724014,0.851063829787234,0.01538265123963356,50,207462,7
769,AD,test,ADNetwork,769,"M,F",0.8600583090379009,0.5384615384615384,0.7488858539390454,0.43415692944911133,0.7407633697527314,0.49122807017543857,0.5957446808510638,0.8189964294433594,50,207462,7
328,AD,test,ADNetwork,328,"M,F",0.8454810495626822,0.5309734513274337,0.7583381253594019,0.43417676548375633,0.7407633697527314,0.45454545454545453,0.6382978723404256,0.024886813014745712,42,207462,7
204,AD,test,ADNetwork,204,"M,F",0.40233236151603496,0.2906574394463668,0.60897067280046,0.403847760812984,0.7407633697527314,0.17355371900826447,0.8936170212765957,0.0189517755061388,50,207462,7
281,AD,test,ADNetwork,281,"M,F",0.8775510204081632,0.4878048780487805,0.6874281196089707,0.4008126046771292,0.7407633697527314,0.5714285714285714,0.425531914893617,0.8886901140213013,50,207462,7
841,AD,test,ADNetwork,841,"M,F",0.13994169096209913,0.2416452442159383,0.5016891891891893,0.43168721122534226,0.7407633697527314,0.13742690058479531,1.0,0.016586409881711006,50,207462,7
31,AD,test,ADNetwork,31,"M,F",0.7842565597667639,0.463768115942029,0.7407633697527314,0.401089357884842,0.7407633697527314,0.3516483516483517,0.6808510638297872,0.023452777415513992,26,207462,7
