,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,test,CNNetwork,23,"M,F",0.46647230320699706,0.6163522012578616,0.5146026831785345,0.26992622445803716,0.49282765737874096,0.4537037037037037,0.9607843137254902,0.0578729473054409,50,207462,7
362,CN,test,CNNetwork,362,"M,F",0.4606413994169096,0.6185567010309279,0.5112487100103199,0.27440873079007844,0.49282765737874096,0.45180722891566266,0.9803921568627451,0.08615382760763168,50,207462,7
191,CN,test,CNNetwork,191,"M,F",0.49854227405247814,0.6018518518518519,0.5327313381492949,0.24527506855276673,0.49282765737874096,0.4659498207885305,0.8496732026143791,0.11015269160270691,50,207462,7
80,CN,test,CNNetwork,80,"M,F",0.4402332361516035,0.6081632653061224,0.49219126246990025,,0.49282765737874096,0.4421364985163205,0.9738562091503268,0.06326229870319366,50,207462,7
769,CN,test,CNNetwork,769,"M,F",0.446064139941691,0.6169354838709677,0.5,0.27696793002915454,0.49282765737874096,0.446064139941691,1.0,0.05583101883530617,50,207462,7
328,CN,test,CNNetwork,328,"M,F",0.446064139941691,0.6169354838709677,0.5,0.27696793002915454,0.49282765737874096,0.446064139941691,1.0,0.07020794600248337,50,207462,7
204,CN,test,CNNetwork,204,"M,F",0.4606413994169096,0.621676891615542,0.5125214998280013,0.27831608834009797,0.49282765737874096,0.4523809523809524,0.9934640522875817,0.09474679827690125,50,207462,7
281,CN,test,CNNetwork,281,"M,F",0.4489795918367347,0.6181818181818182,0.5026315789473684,0.2776200705846248,0.49282765737874096,0.4473684210526316,1.0,0.04919041320681572,50,207462,7
841,CN,test,CNNetwork,841,"M,F",0.6268221574344023,0.6649214659685864,0.6466116271069833,0.2841619908516536,0.49282765737874096,0.5545851528384279,0.8300653594771242,0.11266227066516876,50,207462,7
31,CN,test,CNNetwork,31,"M,F",0.4402332361516035,0.6097560975609756,0.49282765737874096,,0.49282765737874096,0.4424778761061947,0.9803921568627451,0.06472604721784592,50,207462,7
