,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,test,EMCINetwork,23,"M,F",0.5539358600583091,0.6203473945409429,0.5973443606923506,0.2832122392071372,0.7366694584031268,0.4826254826254826,0.8680555555555556,0.03170192614197731,50,207462,7
362,EMCI,test,EMCINetwork,362,"M,F",0.5918367346938775,0.6335078534031413,0.6261690396426578,0.28804319346786333,0.7366694584031268,0.5084033613445378,0.8402777777777778,0.036458440124988556,50,207462,7
191,EMCI,test,EMCINetwork,191,"M,F",0.7580174927113703,0.7087719298245614,0.7501919318816304,0.35170761567038167,0.7366694584031268,0.7163120567375887,0.7013888888888888,0.1736074984073639,50,207462,7
80,EMCI,test,EMCINetwork,80,"M,F",0.7317784256559767,0.6973684210526315,0.7323771635957566,0.33487406867508906,0.7366694584031268,0.6625,0.7361111111111112,0.5412305593490601,50,207462,7
769,EMCI,test,EMCINetwork,769,"M,F",0.749271137026239,0.7152317880794702,0.7493718592964824,0.34942521312322394,0.7366694584031268,0.6835443037974683,0.75,0.051991529762744904,50,207462,7
328,EMCI,test,EMCINetwork,328,"M,F",0.760932944606414,0.7172413793103448,0.7555834729201564,0.3557594596873322,0.7366694584031268,0.7123287671232876,0.7222222222222222,0.8124428391456604,50,207462,7
204,EMCI,test,EMCINetwork,204,"M,F",0.7259475218658892,0.6928104575163399,0.7273520379676158,0.33078456250224963,0.7366694584031268,0.654320987654321,0.7361111111111112,0.056269314140081406,25,207462,7
281,EMCI,test,EMCINetwork,281,"M,F",0.7376093294460642,0.7058823529411765,0.739321608040201,0.3409863945578231,0.7366694584031268,0.6666666666666666,0.75,0.09294146299362183,33,207462,7
841,EMCI,test,EMCINetwork,841,"M,F",0.7638483965014577,0.7272727272727273,0.7619346733668342,0.36059423769507803,0.7366694584031268,0.7058823529411765,0.75,0.17428261041641235,30,207462,7
31,EMCI,test,EMCINetwork,31,"M,F",0.7434402332361516,0.6944444444444444,0.7366694584031267,0.33875931324910913,0.7366694584031268,0.6944444444444444,0.6944444444444444,0.15002328157424927,50,207462,7
