,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,test,FTDNetwork,23,"M,F",0.8192419825072886,0.38,0.8805727554179567,0.5368986880466472,0.7456656346749226,0.2375,0.95,0.018287505954504013,50,207462,7
362,FTD,test,FTDNetwork,362,"M,F",0.8833819241982507,0.4594594594594595,0.8677244582043344,0.5284715473490984,0.7456656346749226,0.3148148148148148,0.85,0.023980746045708656,50,207462,7
191,FTD,test,FTDNetwork,191,"M,F",0.7142857142857143,0.26865671641791045,0.8013931888544892,0.4735537824152217,0.7456656346749226,0.15789473684210525,0.9,0.02596733719110489,50,207462,7
80,FTD,test,FTDNetwork,80,"M,F",0.9504373177842566,0.6666666666666666,0.9033281733746129,0.6452576883287877,0.7456656346749226,0.5483870967741935,0.85,0.08970407396554947,50,207462,7
769,FTD,test,FTDNetwork,769,"M,F",0.9037900874635568,0.5217391304347826,0.9020123839009287,0.5782798833819243,0.7456656346749226,0.3673469387755102,0.9,0.027129942551255226,50,207462,7
328,FTD,test,FTDNetwork,328,"M,F",0.9795918367346939,0.8,0.8484520123839009,0.7671039844509232,0.7456656346749226,0.9333333333333333,0.7,0.3977617621421814,50,207462,7
204,FTD,test,FTDNetwork,204,"M,F",0.8775510204081632,0.46153846153846156,0.8880804953560371,0.5497788277872725,0.7456656346749226,0.3103448275862069,0.9,0.031145691871643066,50,207462,7
281,FTD,test,FTDNetwork,281,"M,F",0.8746355685131195,0.44155844155844154,0.8630804953560371,0.5201869469592348,0.7456656346749226,0.2982456140350877,0.85,0.051630355417728424,50,207462,7
841,FTD,test,FTDNetwork,841,"M,F",0.8483965014577259,0.4090909090909091,0.8726006191950464,0.5269593551706397,0.7456656346749226,0.2647058823529412,0.9,0.032570116221904755,50,207462,7
31,FTD,test,FTDNetwork,31,"M,F",0.60932944606414,0.21176470588235294,0.7456656346749225,0.4546064139941691,0.7456656346749226,0.12,0.9,0.019260946661233902,50,207462,7
