,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,LMCI,test,LMCINetwork,23,"M,F",0.6472303206997084,0.5631768953068592,0.6616961789375583,0.3107809063058633,0.576421248835042,0.46987951807228917,0.7027027027027027,0.02081374265253544,50,207462,7
362,LMCI,test,LMCINetwork,362,"M,F",0.34110787172011664,0.49099099099099097,0.5082323703013358,0.33395494619984417,0.576421248835042,0.32732732732732733,0.9819819819819819,0.023926129564642906,50,207462,7
191,LMCI,test,LMCINetwork,191,"M,F",0.7551020408163265,0.6410256410256411,0.7343895619757689,0.3715788603792586,0.576421248835042,0.6097560975609756,0.6756756756756757,0.04505477100610733,50,207462,7
80,LMCI,test,LMCINetwork,80,"M,F",0.8046647230320699,0.6912442396313364,0.7710274930102516,0.4204743965044312,0.576421248835042,0.7075471698113207,0.6756756756756757,0.048157915472984314,22,207462,7
769,LMCI,test,LMCINetwork,769,"M,F",0.8075801749271136,0.7155172413793104,0.7919773221497359,0.4340502466662022,0.576421248835042,0.6859504132231405,0.7477477477477478,0.0340375155210495,50,207462,7
328,LMCI,test,LMCINetwork,328,"M,F",0.8425655976676385,0.7157894736842105,0.7825994097545821,0.4757531085353354,0.576421248835042,0.8607594936708861,0.6126126126126126,0.05521503463387489,50,207462,7
204,LMCI,test,LMCINetwork,204,"M,F",0.7755102040816326,0.6695278969957081,0.7565237651444547,0.3955132784172597,0.576421248835042,0.639344262295082,0.7027027027027027,0.03027716837823391,50,207462,7
281,LMCI,test,LMCINetwork,281,"M,F",0.8396501457725948,0.7368421052631579,0.8015882261571916,0.46565151156987894,0.576421248835042,0.7857142857142857,0.6936936936936937,0.22386780381202698,21,207462,7
841,LMCI,test,LMCINetwork,841,"M,F",0.8396501457725948,0.7368421052631579,0.8015882261571916,0.46565151156987894,0.576421248835042,0.7857142857142857,0.6936936936936937,0.7100670337677002,50,207462,7
31,LMCI,test,LMCINetwork,31,"M,F",0.446064139941691,0.525,0.576421248835042,0.3397650679622292,0.576421248835042,0.3633217993079585,0.9459459459459459,0.008402721025049686,50,207462,7
