,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,MCI,test,MCINetwork,23,"M,F",0.7580174927113703,0.6867924528301886,0.7405953378001117,0.3494396824058234,0.7554438860971524,0.7520661157024794,0.6319444444444444,0.9283182621002197,50,207462,7
362,MCI,test,MCINetwork,362,"M,F",0.6239067055393586,0.6345609065155807,0.6451702959240648,0.2836536300553486,0.7554438860971524,0.5358851674641149,0.7777777777777778,0.08265966176986694,50,207462,7
191,MCI,test,MCINetwork,191,"M,F",0.7376093294460642,0.6538461538461539,0.7172494416527079,0.3276989572512091,0.7554438860971524,0.7327586206896551,0.5902777777777778,0.08456654846668243,50,207462,7
80,MCI,test,MCINetwork,80,"M,F",0.7696793002915452,0.7285223367697594,0.7650404801786712,0.3641682863621639,0.7554438860971524,0.7210884353741497,0.7361111111111112,0.6107951402664185,50,207462,7
769,MCI,test,MCINetwork,769,"M,F",0.6909620991253644,0.66875,0.6981609436069234,0.30961583767706213,0.7554438860971524,0.6079545454545454,0.7430555555555556,0.05378088355064392,33,207462,7
328,MCI,test,MCINetwork,328,"M,F",0.4198250728862974,0.5913757700205339,0.5,0.29008746355685133,0.7554438860971524,0.4198250728862974,1.0,0.07135084271430969,23,207462,7
204,MCI,test,MCINetwork,204,"M,F",0.7696793002915452,0.7303754266211604,0.766000139586823,0.36469896763435317,0.7554438860971524,0.7181208053691275,0.7430555555555556,0.10672468692064285,17,207462,7
281,MCI,test,MCINetwork,281,"M,F",0.7900874635568513,0.7293233082706767,0.7739914852037968,0.3830345858093433,0.7554438860971524,0.7950819672131147,0.6736111111111112,0.08783961832523346,18,207462,7
841,MCI,test,MCINetwork,841,"M,F",0.7142857142857143,0.6733333333333333,0.7125034896705751,0.317269536019536,0.7554438860971524,0.6474358974358975,0.7013888888888888,0.048554468899965286,30,207462,7
31,MCI,test,MCINetwork,31,"M,F",0.7696793002915452,0.7084870848708487,0.7554438860971524,0.36143186183359727,0.7554438860971524,0.7559055118110236,0.6666666666666666,0.7119917273521423,35,207462,7
